
videoName	rotAngle	videoLength	firstTargets	secondTargets	clickedItemsfromFirstVid	clickedItemsfromSecondVid	respnseTimeFirstVid	respnseTimeSecondVid
OB_2,1_10_119_1_45_0.avi	301	110	1	1	3	1	1.1611 	1.7511 
OB_OC_4,7_10_1_344_45_135.avi	277	110	3241	0	423	0	0.93133 2.1157 3.1868 	0
OB_2,1_10_119_229_45_270.avi	61	110	41	0	12	0	1.266 2.0599 	0
OB_OC_4,1_10_1_344_45_270.avi	311	110	412	4	143	4	0.99734 2.6918 4.0751 	1.701 
OC_4,1_10_1_229_45_0.avi	357	110	12	31	312	1	1.0435 1.6674 2.572 	3.2511 
OB_2,7_10_1_344_45_0.avi	186	110	4	4	4	4	0.68092 	1.5995 
OC_4,10_10_1_229_0_292.5.avi	319	110	12	24	21	24	1.0079 3.0559 	1.9743 3.8154 
OC_2,1_10_119_344_45_135.avi	212	110	1	1	1	1	1.676 	0.80334 
OB_OC_4,1_10_119_114_45_90.avi	56	110	3412	0	2134	0	1.0046 1.7721 2.4373 3.4691 	0
OB_OC_2,1_10_119_114_45_225.avi	72	110	3	1	32	0	1.173 2.093 	0
NO_2,1_10_119_1_45_180.avi	147	110	1	1	3	1	0.97374 	3.4856 
OC_4,1_10_1_114_45_0.avi	270	110	412	1	124	1	0.96859 1.9595 3.8953 	2.6711 
OB_4,1_10_119_1_45_0.avi	298	110	341	1	143	1	0.97077 1.7382 3.0353 	2.411 
OC_4,1_10_1_229_0_22.5.avi	285	110	34	14	4	41	2.4456 	0.98199 1.8048 
OC_2,1_10_1_229_45_180.avi	115	110	4	3	4	3	1.327 	0.79143 
OC_4,1_10_1_229_0_112.5.avi	193	110	234	3	43	34	2.3738 4.0858 	1.1581 3.3806 
OB_2,7_10_1_229_45_315.avi	33	110	41	0	1	2	2.2117 	1.1007 
OC_2,1_10_119_1_45_315.avi	41	110	3	1	1	1	1.0891 	2.1688 
OB_4,10_10_1_114_0_45.avi	50	110	142	1	241	1	0.86424 1.6656 2.8415 	3.3601 
OB_4,10_10_229_344_0_90.avi	245	110	42	41	24	14	0.88155 2.5456 	1.7472 3.347 
NO_2,10_10_1_344_0_270.avi	179	110	1	4	1	4	1.2134 	1.9569 
NO_4,10_10_229_344_0_292.5.avi	69	110	34	14	43	14	0.94366 1.7126 	2.3594 4.0544 
OB_OC_2,1_10_1_229_45_225.avi	179	110	12	0	21	0	1.0294 1.91 	0
OC_2,1_10_1_1_45_315.avi	54	110	12	0	12	0	1.2131 2.005 	0
NO_4,1_10_1_114_45_0.avi	20	110	412	1	124	1	0.81301 1.565 3.0765 	2.2687 
OC_2,1_10_1_1_45_180.avi	307	110	34	0	34	0	1.3507 2.3335 	0
NO_2,1_10_1_1_45_270.avi	202	110	31	0	13	0	0.91409 1.69 	0
OB_OC_4,10_10_1_344_0_225.avi	335	110	142	1	142	1	0.90251 2.9102 3.8636 	1.831 
OB_OC_4,1_10_1_114_45_315.avi	251	110	341	4	31	1	0.86775 3.9082 	1.8292 
OB_OC_2,1_10_1_344_45_135.avi	210	110	32	0	23	0	1.7846 3.1365 	0
OB_OC_4,10_10_1_229_0_180.avi	294	110	143	3	431	3	1.1027 1.8004 2.7274 	3.3593 
OB_OC_2,7_10_1_1_45_135.avi	317	110	4	1	4	1	1.829 	1.078 
OB_OC_2,10_10_114_229_0_180.avi	357	110	14	0	41	0	0.99565 1.981 	0
OC_4,10_10_229_344_0_315.avi	1	110	43	41	43	14	1.0568 2.9517 	2.089 3.8478 
OC_4,1_1_1_119_0_180.avi	312	110	12	31	32	31	1.0646 2.5611 	1.8087 3.5545 
NO_4,10_10_1_344_0_292.5.avi	221	110	12	14	12	41	0.88162 3.6095 	1.8256 2.7282 
OC_2,1_10_119_229_45_45.avi	357	110	0	43	0	34	0	0.97974 2.3077 
OB_OC_4,1_10_1_229_45_135.avi	190	110	32	42	23	24	1.3454 3.1147 	2.0086 3.8657 
OB_4,1_10_1_344_45_90.avi	173	110	341	4	134	4	1.061 1.7951 3.6277 	2.741 
NO_4,10_10_1_344_0_270.avi	289	110	12	41	12	14	1.9731 3.0467 	0.76481 3.9972 

