
videoName	rotAngle	videoLength	firstTargets	secondTargets	clickedItemsfromFirstVid	clickedItemsfromSecondVid	respnseTimeFirstVid	respnseTimeSecondVid
NO_2,10_10_1_114_0_90.avi	150	110	12	0	12	0	0.83157 1.7919 	0
OC_2,1_1_1_119_0_135.avi	304	110	2	1	2	1	1.8563 	1.3272 
OC_2,1_10_119_1_45_180.avi	300	110	1	1	3	1	2.4793 	1.1354 
OB_OC_2,1_10_1_114_45_0.avi	93	110	3	4	3	4	2.091 	1.0523 
OB_OC_4,1_10_119_1_45_315.avi	221	110	412	4	243	3	0.99789 2.0062 3.2294 	3.9754 
OB_OC_2,1_10_1_114_45_45.avi	210	110	2	1	2	1	1.9392 	0.99516 
NO_2,10_10_114_229_0_90.avi	195	110	1	4	1	4	1.0783 	2.0128 
OC_2,10_10_229_344_0_135.avi	314	110	4	1	4	1	1.6196 	0.74695 
OB_4,1_10_1_229_45_180.avi	96	110	312	4	213	4	1.1427 2.9509 3.8285 	2.3973 
OB_OC_4,1_10_1_229_45_90.avi	115	110	3412	0	413	3	2.1245 3.1483 3.9656 	1.0215 
OB_2,10_10_1_114_0_225.avi	43	110	4	4	4	4	1.9542 	0.9364 
OB_2,1_10_1_1_45_90.avi	339	110	1	1	1	1	1.8099 	2.8816 
OB_OC_2,10_10_1_114_0_0.avi	233	110	4	1	14	0	1.0164 2.0651 	0
OB_OC_4,10_10_1_229_0_0.avi	173	110	142	3	142	3	0.94077 1.8354 3.7234 	2.8457 
OC_2,1_10_1_114_45_180.avi	231	110	42	0	24	0	1.3751 2.5036 	0
NO_2,10_10_229_344_0_315.avi	197	110	4	4	4	4	2.0016 	1.1279 
NO_4,1_1_1_119_0_180.avi	234	110	12	31	1	13	2.6373 	1.3408 3.5968 
OB_OC_4,10_10_114_229_0_315.avi	196	110	14	43	14	43	1.8579 2.6802 	1.1912 3.3514 
NO_4,1_10_1_1_0_202.5.avi	260	110	123	1	213	1	1.1133 3.1559 3.8905 	2.0434 
OC_2,10_10_1_114_0_315.avi	189	110	1	1	1	1	2.1267 	1.1763 
NO_2,1_10_1_1_45_0.avi	358	110	12	0	12	0	1.0576 1.9711 	0
OB_4,10_10_229_344_0_0.avi	79	110	43	41	4	314	5.2664 	1.4815 2.8329 6.4807 
OB_4,1_10_119_229_45_315.avi	39	110	3412	0	1243	0	1.5113 2.3581 3.2233 4.2247 	0
OB_2,7_10_1_114_45_90.avi	40	110	4	1	4	1	0.75999 	1.6237 
OB_4,1_10_1_114_45_180.avi	23	110	31	14	31	14	1.9704 2.5688 	1.185 3.3861 
OB_OC_4,1_10_1_1_45_180.avi	146	110	12	42	21	23	3.31 4.2291 	1.5497 2.4379 
OB_OC_4,1_10_119_229_45_90.avi	162	110	412	4	341	0	1.2507 2.421 4.0687 	0
OB_2,10_10_229_344_0_90.avi	132	110	4	4	4	4	0.91467 	1.6592 
OB_OC_2,1_10_119_1_45_315.avi	275	110	1	4	0	14	0	1.5685 2.8087 
NO_2,1_1_1_119_0_180.avi	227	110	1	3	3	3	2.7217 	1.4725 
OB_2,10_10_114_344_0_0.avi	278	110	4	1	14	0	0.95029 1.7352 	0
NO_4,1_10_1_229_0_112.5.avi	336	110	234	3	243	3	1.1258 2.7336 3.8851 	2.0045 
OB_4,1_10_1_344_45_180.avi	351	110	312	4	312	4	1.7727 2.5007 3.2787 	1.094 
OB_4,10_10_1_114_0_270.avi	70	110	143	4	431	3	1.0027 1.5248 3.1146 	2.395 
OB_OC_2,1_10_1_1_45_135.avi	50	110	1	1	3	1	1.1105 	2.1647 
OB_4,10_10_114_229_0_270.avi	251	110	143	4	341	4	1.2348 2.0421 3.1157 	3.9146 
OB_OC_2,1_10_1_229_45_135.avi	34	110	32	0	32	0	1.2547 2.5971 	0
NO_4,10_10_1_229_0_157.5.avi	190	110	12	34	12	34	1.2605 2.9974 	1.9003 3.8536 
NO_2,1_1_1_119_0_270.avi	191	110	4	1	4	1	1.7641 	0.91632 
NO_2,1_10_1_229_45_135.avi	311	110	41	0	4	3	1.9605 	0.91427 


