
videoName	rotAngle	videoLength	firstTargets	secondTargets	clickedItemsfromFirstVid	clickedItemsfromSecondVid	respnseTimeFirstVid	respnseTimeSecondVid
OB_2,7_10_1_1_0_67.5.avi	278	110	0	34	0	34	0	2.4312 3.7181 
OC_2,7_10_1_229_0_247.5.avi	117	110	4	1	4	1	2.8099 	1.4838 
OB_OC_2,7_10_1_344_0_157.5.avi	283	110	13	0	3	441	2.6397 	9.4242 9.7673 18.0328 
OB_4,7_10_1_229_0_22.5.avi	170	110	12	14	2211	14	1.8829 2.982 3.7658 4.4679 	5.5426 16.7174 
NO_4,7_10_1_114_0_0.avi	13	110	23	12	32	23	1.1212 3.7058 	5.0652 5.9049 
OB_OC_4,7_10_1_344_0_292.5.avi	64	110	24	34	42	443	0.7479 3.732 	2.2584 2.6439 5.068 
NO_2,1_7_1_1_0_247.5.avi	260	110	1	3	1	3	1.1749 	2.279 
OC_4,7_10_1_229_0_67.5.avi	171	110	34	13	43	31	2.2856 4.6533 	1.0719 3.285 

