
videoName	rotAngle	videoLength	firstTargets	secondTargets	clickedItemsfromFirstVid	clickedItemsfromSecondVid	respnseTimeFirstVid	respnseTimeSecondVid
NO_2,1_10_1_1_45_315.avi	278	110	12	0	21	0	1.5532 2.817 	0
NO_2,1_10_119_344_45_90.avi	117	110	3	4	3	4	2.6544 	1.6547 
OB_4,1_10_1_344_45_315.avi	283	110	3412	0	2413	0	1.4301 2.8543 4.1838 5.4538 	0
OB_2,10_10_114_229_0_135.avi	170	110	14	0	14	0	1.2598 2.6466 	0
NO_4,10_10_229_344_0_315.avi	13	110	43	41	34	14	2.8003 3.9297 	0.9378 1.7451 
OB_2,1_10_1_1_45_0.avi	64	110	0	14	0	14	0	1.4185 2.7714 
OC_4,1_10_119_344_0_247.5.avi	260	110	13	23	13	32	1.4514 3.5802 	2.0209 2.8357 
OB_OC_4,1_10_119_114_45_225.avi	171	110	342	1	421	1	1.391 2.8401 4.184 	3.5862 
OC_4,1_10_119_344_45_90.avi	55	110	31	41	31	14	2.3695 3.9453 	0.98569 3.0093 
OB_4,1_10_119_229_45_225.avi	123	110	342	4	421	4	1.5596 3.6321 4.9925 	2.376 
NO_2,10_10_1_114_0_270.avi	219	110	2	1	2	1	2.2697 	1.1801 
OB_2,1_10_1_1_45_225.avi	70	110	1	4	1	4	2.1249 	1.0792 
OC_4,1_10_1_1_0_157.5.avi	266	110	234	2	124	2	1.3744 2.452 4.4457 	3.5242 
OB_4,10_10_1_114_0_90.avi	88	110	43	14	34	14	3.8065 4.575 	1.4143 2.671 
OB_OC_2,1_10_119_344_45_135.avi	331	110	32	0	3	2	1.4076 	2.6149 
OB_2,1_10_119_114_45_135.avi	97	110	12	0	34	0	1.285 2.5157 	0
OC_4,1_10_1_1_0_247.5.avi	276	110	123	1	213	1	2.0565 3.0723 3.9605 	1.312 
OB_OC_2,10_10_1_114_0_180.avi	68	110	14	0	14	0	1.5005 2.7252 	0
OB_OC_4,10_10_114_229_0_0.avi	104	110	14	32	13	32	1.2563 3.4096 	2.4092 4.2957 
OC_2,1_10_1_114_45_90.avi	33	110	4	1	4	1	1.2241 	2.009 
OC_2,10_10_114_229_0_225.avi	208	110	0	43	0	43	0	1.3481 3.0675 
NO_4,10_10_1_229_0_90.avi	247	110	12	43	12	43	1.1201 3.4718 	2.654 4.6542 
OB_4,10_10_1_229_0_225.avi	197	110	14	21	41	12	0.99915 2.9694 	1.9436 3.4491 
OC_4,10_10_1_229_0_157.5.avi	154	110	12	34	21	43	0.94119 3.3323 	1.6299 2.4442 
OB_OC_2,1_10_1_114_45_225.avi	232	110	1	1	1	1	1.5047 	2.3609 
NO_4,10_10_229_344_0_202.5.avi	234	110	34	14	34	14	1.9842 4.2412 	1.1509 2.8394 
OB_2,10_10_1_114_0_45.avi	245	110	1	1	1	1	1.7322 	1.0101 
OB_4,1_1_1_119_0_180.avi	229	110	34	42	34	24	2.2854 4.1335 	1.1659 3.2613 
OC_4,1_10_1_344_45_135.avi	341	110	41	13	4	314	2.3101 	1.4049 3.1913 4.1971 
NO_4,10_10_1_344_0_315.avi	76	110	12	41	21	14	1.71 3.7995 	0.79097 2.8784 
OB_4,10_10_1_344_0_45.avi	256	110	142	4	241	4	1.5215 2.6121 3.5561 	4.347 
NO_4,10_10_1_229_0_270.avi	86	110	12	42	12	24	1.1825 4.0394 	1.8871 2.9528 
OB_2,10_10_229_344_0_0.avi	43	110	43	0	34	0	1.2458 2.5015 	0
NO_4,1_10_1_229_45_135.avi	219	110	41	31	14	13	1.2989 3.6108 	2.5969 4.3633 
NO_4,1_10_1_1_0_247.5.avi	163	110	123	1	213	1	1.6401 2.4256 3.57 	1.0582 
OB_OC_4,10_10_114_229_0_45.avi	166	110	14	21	41	21	2.4266 4.2358 	1.2098 3.4035 
NO_2,10_10_1_229_0_180.avi	239	110	2	4	2	4	2.9336 	1.8776 
OC_2,10_10_114_344_0_315.avi	278	110	1	4	1	4	2.3466 	1.4989 
OB_OC_2,7_10_1_344_45_90.avi	127	110	4	4	4	4	1.4488 	2.4073 
OC_2,10_10_1_344_0_315.avi	239	110	1	4	1	4	1.051 	2.0009 

