
videoName	rotAngle	videoLength	firstTargets	secondTargets	clickedItemsfromFirstVid	clickedItemsfromSecondVid	respnseTimeFirstVid	respnseTimeSecondVid
NO_2,10_10_1_114_0_90.avi	150	110	12	0	12	0	1.2516 2.7316 	0
OC_2,1_1_1_119_0_135.avi	304	110	2	1	2	1	2.2379 	1.43 
OC_2,1_10_119_1_45_180.avi	300	110	1	1	3	1	2.5746 	1.3349 
OB_OC_2,1_10_1_114_45_0.avi	93	110	3	4	3	4	2.1642 	1.2282 
OB_OC_4,1_10_119_1_45_315.avi	221	110	412	4	124	4	1.3951 3.3634 4.5003 	2.3786 
OB_OC_2,1_10_1_114_45_45.avi	210	110	2	1	2	1	2.0905 	1.2423 
NO_2,10_10_114_229_0_90.avi	195	110	1	4	1	4	1.3099 	2.3815 
OC_2,10_10_229_344_0_135.avi	314	110	4	1	4	1	1.8918 	0.96129 
OB_4,1_10_1_229_45_180.avi	96	110	312	4	213	4	1.4229 3.0485 4.1426 	2.4407 
OB_OC_4,1_10_1_229_45_90.avi	115	110	3412	0	134	2	1.3916 2.8956 3.9044 	2.1042 
OB_2,10_10_1_114_0_225.avi	43	110	4	4	4	4	1.1696 	2.1859 
OB_2,1_10_1_1_45_90.avi	339	110	1	1	1	1	2.4528 	1.3337 
OB_OC_2,10_10_1_114_0_0.avi	233	110	4	1	41	0	1.347 2.4909 	0
OB_OC_4,10_10_1_229_0_0.avi	173	110	142	3	241	3	1.0535 2.74 3.6362 	1.8848 
OC_2,1_10_1_114_45_180.avi	231	110	42	0	42	0	1.4915 2.4191 	0
NO_2,10_10_229_344_0_315.avi	197	110	4	4	4	4	2.1705 	1.2355 
NO_4,1_1_1_119_0_180.avi	234	110	12	31	12	31	1.3441 3.0874 	2.0871 3.967 
OB_OC_4,10_10_114_229_0_315.avi	196	110	14	43	41	34	1.6567 2.7288 	0.98596 3.616 
NO_4,1_10_1_1_0_202.5.avi	260	110	123	1	312	1	1.113 1.7538 3.2568 	2.5537 
OC_2,10_10_1_114_0_315.avi	189	110	1	1	1	1	2.0736 	1.2737 
NO_2,1_10_1_1_45_0.avi	358	110	12	0	12	0	1.2454 2.2866 	0
OB_4,10_10_229_344_0_0.avi	79	110	43	41	314	4	1.4273 2.4116 4.0359 	3.1237 
OB_4,1_10_119_229_45_315.avi	39	110	3412	0	243	3	1.0428 1.7395 4.3411 	3.0191 
OB_2,7_10_1_114_45_90.avi	40	110	4	1	4	1	1.0029 	1.931 
OB_4,1_10_1_114_45_180.avi	23	110	31	14	13	41	2.0597 3.0023 	1.1387 3.8744 
OB_OC_4,1_10_1_1_45_180.avi	146	110	12	42	12	42	1.2458 2.0466 	2.8864 4.6233 
OB_OC_4,1_10_119_229_45_90.avi	162	110	412	4	2431	0	0.97746 1.9459 2.8964 3.9939 	0
OB_2,10_10_229_344_0_90.avi	132	110	4	4	4	4	1.0793 	1.7615 
OB_OC_2,1_10_119_1_45_315.avi	275	110	1	4	3	4	1.5522 	0.97624 
NO_2,1_1_1_119_0_180.avi	227	110	1	3	1	1	1.3982 	2.3023 
OB_2,10_10_114_344_0_0.avi	278	110	4	1	4	1	2.3072 	1.0027 
NO_4,1_10_1_229_0_112.5.avi	336	110	234	3	234	3	1.3029 2.2544 4.3737 	3.2542 
OB_4,1_10_1_344_45_180.avi	351	110	312	4	123	4	1.1306 1.9639 3.0126 	3.6185 
OB_4,10_10_1_114_0_270.avi	70	110	143	4	341	4	1.2824 1.7242 3.2985 	2.6283 
OB_OC_2,1_10_1_1_45_135.avi	50	110	1	1	1	1	2.2791 	1.1027 
OB_4,10_10_114_229_0_270.avi	251	110	143	4	143	4	3.0136 4.1656 4.9744 	1.8946 
OB_OC_2,1_10_1_229_45_135.avi	34	110	32	0	23	0	1.4156 2.7131 	0
NO_4,10_10_1_229_0_157.5.avi	190	110	12	34	21	43	1.0182 3.2158 	1.642 2.6418 
NO_2,1_1_1_119_0_270.avi	191	110	4	1	4	1	2.0464 	1.1496 
NO_2,1_10_1_229_45_135.avi	311	110	41	0	14	0	1.2454 2.2527 	0

