
videoName	rotAngle	videoLength	firstTargets	secondTargets	clickedItemsfromFirstVid	clickedItemsfromSecondVid	respnseTimeFirstVid	respnseTimeSecondVid
NO_2,10_10_1_114_0_90.avi	150	110	12	0	12	0	1.4323 2.2226 	0
OC_2,1_1_1_119_0_135.avi	304	110	2	1	2	1	1.632 	2.6074 
OC_2,1_10_119_1_45_180.avi	300	110	1	1	3	1	2.7763 	1.1272 
OB_OC_2,1_10_1_114_45_0.avi	93	110	3	4	3	4	1.9096 	0.91721 
OB_OC_4,1_10_119_1_45_315.avi	221	110	412	4	124	4	1.5254 3.8532 4.4935 	2.5567 
OB_OC_2,1_10_1_114_45_45.avi	210	110	2	1	24	0	1.0692 4.908 	0
NO_2,10_10_114_229_0_90.avi	195	110	1	4	1	4	0.88955 	1.8645 
OC_2,10_10_229_344_0_135.avi	314	110	4	1	4	1	2.0438 	0.87693 
OB_4,1_10_1_229_45_180.avi	96	110	312	4	213	4	1.408 3.119 4.0785 	2.2962 
OB_OC_4,1_10_1_229_45_90.avi	115	110	3412	0	431	2	2.0157 3 6.2144 	1.0642 
OB_2,10_10_1_114_0_225.avi	43	110	4	4	4	4	0.98316 	1.8699 
OB_2,1_10_1_1_45_90.avi	339	110	1	1	1	1	1.2401 	2.2973 
OB_OC_2,10_10_1_114_0_0.avi	233	110	4	1	0	41	0	0.93233 1.7482 
OB_OC_4,10_10_1_229_0_0.avi	173	110	142	3	421	3	1.0501 2.0016 3.9464 	2.7471 
OC_2,1_10_1_114_45_180.avi	231	110	42	0	24	0	0.88126 1.9469 	0
NO_2,10_10_229_344_0_315.avi	197	110	4	4	4	4	2.2557 	1.2718 
NO_4,1_1_1_119_0_180.avi	234	110	12	31	12	31	0.9737 2.6607 	1.7566 3.4934 
OB_OC_4,10_10_114_229_0_315.avi	196	110	14	43	41	34	2.3483 3.2674 	1.5719 4.0603 
NO_4,1_10_1_1_0_202.5.avi	260	110	123	1	2213	1	1.2355 2.2094 4.0176 4.7876 	3.0512 
OC_2,10_10_1_114_0_315.avi	189	110	1	1	1	1	1.1926 	2.3226 
NO_2,1_10_1_1_45_0.avi	358	110	12	0	12	0	0.98631 2.4749 	0
OB_4,10_10_229_344_0_0.avi	79	110	43	41	34	1	3.464 6.1683 	4.7202 
OB_4,1_10_119_229_45_315.avi	39	110	3412	0	1243	0	1.5159 2.2066 2.9965 3.932 	0
OB_2,7_10_1_114_45_90.avi	40	110	4	1	4	1	0.73993 	1.7797 
OB_4,1_10_1_114_45_180.avi	23	110	31	14	13	14	1.177 1.9754 	2.7514 4.5211 
OB_OC_4,1_10_1_1_45_180.avi	146	110	12	42	21	24	3.2051 4.0858 	1.2937 2.2701 
OB_OC_4,1_10_119_229_45_90.avi	162	110	412	4	421	4	0.98466 1.9037 3.0736 	3.6875 
OB_2,10_10_229_344_0_90.avi	132	110	4	4	4	4	1.3409 	2.2929 
OB_OC_2,1_10_119_1_45_315.avi	275	110	1	4	1	4	1.2478 	3.041 
NO_2,1_1_1_119_0_180.avi	227	110	1	3	1	3	1.7978 	0.88569 
OB_2,10_10_114_344_0_0.avi	278	110	4	1	4	1	1.9268 	0.903 
NO_4,1_10_1_229_0_112.5.avi	336	110	234	3	324	3	1.3321 2.3 4.005 	3.2679 
OB_4,1_10_1_344_45_180.avi	351	110	312	4	123	4	1.0909 1.9013 2.9006 	3.5579 
OB_4,10_10_1_114_0_270.avi	70	110	143	4	341	4	0.7296 1.2163 2.849 	2.0162 
OB_OC_2,1_10_1_1_45_135.avi	50	110	1	1	1	1	1.8176 	0.93147 
OB_4,10_10_114_229_0_270.avi	251	110	143	4	143	4	1.9893 3.2065 3.9421 	1.0533 
OB_OC_2,1_10_1_229_45_135.avi	34	110	32	0	23	0	1.4542 3.1023 	0
NO_4,10_10_1_229_0_157.5.avi	190	110	12	34	12	34	1.6942 3.5592 	1.1845 2.7748 
NO_2,1_1_1_119_0_270.avi	191	110	4	1	4	1	1.2642 	2.1603 
NO_2,1_10_1_229_45_135.avi	311	110	41	0	14	0	1.1453 1.9925 	0

