
videoName	rotAngle	videoLength	firstTargets	secondTargets	clickedItemsfromFirstVid	clickedItemsfromSecondVid	respnseTimeFirstVid	respnseTimeSecondVid
NO_2,1_10_1_1_45_315.avi	278	110	12	0	21	0	3.6996 5.0278 	0
NO_2,1_10_119_344_45_90.avi	117	110	3	4	3	4	1.884 	2.9326 
OB_4,1_10_1_344_45_315.avi	283	110	3412	0	3124	0	2.0609 2.8198 4.0196 5.357 	0
OB_2,10_10_114_229_0_135.avi	170	110	14	0	14	0	1.5636 2.7649 	0
NO_4,10_10_229_344_0_315.avi	13	110	43	41	34	14	3.9042 4.9453 	1.3055 2.3613 
OB_2,1_10_1_1_45_0.avi	64	110	0	14	0	41	0	1.3362 2.919 
OC_4,1_10_119_344_0_247.5.avi	260	110	13	23	13	32	1.7479 3.7401 	0.9565 2.7622 
OB_OC_4,1_10_119_114_45_225.avi	171	110	342	1	324	1	1.3163 4.5661 5.8352 	2.8278 
OC_4,1_10_119_344_45_90.avi	55	110	31	41	13	14	1.2183 3.6733 	2.3683 4.8332 
OB_4,1_10_119_229_45_225.avi	123	110	342	4	243	4	1.2784 2.1082 5.1496 	2.9415 
NO_2,10_10_1_114_0_270.avi	219	110	2	1	2	1	1.4846 	2.643 
OB_2,1_10_1_1_45_225.avi	70	110	1	4	1	4	2.5602 	1.105 
OC_4,1_10_1_1_0_157.5.avi	266	110	234	2	42	21	2.7117 3.8486 	1.7352 7.104 
OB_4,10_10_1_114_0_90.avi	88	110	43	14	34	14	3.3853 4.0585 	1.3706 2.5216 
OB_OC_2,1_10_119_344_45_135.avi	331	110	32	0	34	0	1.4738 2.4178 	0
OB_2,1_10_119_114_45_135.avi	97	110	12	0	14	0	0.94364 1.9265 	0
OC_4,1_10_1_1_0_247.5.avi	276	110	123	1	213	1	1.6833 3.0038 4.2575 	0.99565 
OB_OC_2,10_10_1_114_0_180.avi	68	110	14	0	41	0	1.5567 2.9021 	0
OB_OC_4,10_10_114_229_0_0.avi	104	110	14	32	412	2	1.2179 3.601 4.9774 	2.2661 
OC_2,1_10_1_114_45_90.avi	33	110	4	1	4	1	1.9196 	0.99193 
OC_2,10_10_114_229_0_225.avi	208	110	0	43	0	34	0	1.3626 2.6198 
NO_4,10_10_1_229_0_90.avi	247	110	12	43	21	43	2.5918 4.417 	1.4394 3.473 
OB_4,10_10_1_229_0_225.avi	197	110	14	21	42	21	2.1302 4.5792 	0.9708 2.9311 
OC_4,10_10_1_229_0_157.5.avi	154	110	12	34	12	34	1.1449 4.0327 	1.8949 3.3196 
OB_OC_2,1_10_1_114_45_225.avi	232	110	1	1	1	1	2.2166 	1.3048 
NO_4,10_10_229_344_0_202.5.avi	234	110	34	14	34	14	1.8896 3.8424 	0.97804 2.8336 
OB_2,10_10_1_114_0_45.avi	245	110	1	1	1	1	2.1329 	1.1016 
OB_4,1_1_1_119_0_180.avi	229	110	34	42	34	24	1.079 2.6862 	1.8624 3.5594 
OC_4,1_10_1_344_45_135.avi	341	110	41	13	14	13	0.8954 2.745 	1.6878 3.5219 
NO_4,10_10_1_344_0_315.avi	76	110	12	41	12	14	0.81312 3.0133 	2.0224 4.2385 
OB_4,10_10_1_344_0_45.avi	256	110	142	4	241	4	2.178 3.3863 4.1637 	4.7801 
NO_4,10_10_1_229_0_270.avi	86	110	12	42	21	42	1.1729 3.5246 	2.2934 4.6596 
OB_2,10_10_229_344_0_0.avi	43	110	43	0	34	0	4.8814 6.347 	0
NO_4,1_10_1_229_45_135.avi	219	110	41	31	14	31	1.2017 3.2827 	2.2594 4.2995 
NO_4,1_10_1_1_0_247.5.avi	163	110	123	1	312	1	2.191 3.129 4.5842 	1.0156 
OB_OC_4,10_10_114_229_0_45.avi	166	110	14	21	41	21	1.9547 2.946 	1.075 3.9224 
NO_2,10_10_1_229_0_180.avi	239	110	2	4	2	4	1.0994 	1.7247 
OC_2,10_10_114_344_0_315.avi	278	110	1	4	1	4	1.028 	1.7616 
OB_OC_2,7_10_1_344_45_90.avi	127	110	4	4	4	4	1.3052 	2.313 
OC_2,10_10_1_344_0_315.avi	239	110	1	4	1	4	2.5043 	1.2876 

