
videoName	rotAngle	videoLength	firstTargets	secondTargets	clickedItemsfromFirstVid	clickedItemsfromSecondVid	respnseTimeFirstVid	respnseTimeSecondVid
OB_2,1_10_119_1_45_0.avi	301	110	1	1	1	1	1.2511 	2.2594 
OB_OC_4,7_10_1_344_45_135.avi	277	110	3241	0	3421	0	1.1596 2.0527 2.9194 6.2854 	0
OB_2,1_10_119_229_45_270.avi	61	110	41	0	12	0	1.0589 2.0084 	0
OB_OC_4,1_10_1_344_45_270.avi	311	110	412	4	241	4	1.2232 2.1362 4.5338 	3.15 
OC_4,1_10_1_229_45_0.avi	357	110	12	31	12	31	1.5095 2.3014 	0.94746 2.8762 
OB_2,7_10_1_344_45_0.avi	186	110	4	4	4	4	1.7078 	0.88152 
OC_4,10_10_1_229_0_292.5.avi	319	110	12	24	21	24	1.0834 3.4022 	2.1151 4.5237 
OC_2,1_10_119_344_45_135.avi	212	110	1	1	1	1	1.9281 	0.68991 
OB_OC_4,1_10_119_114_45_90.avi	56	110	3412	0	123	2	1.0067 1.6635 2.6089 	4.0486 
OB_OC_2,1_10_119_114_45_225.avi	72	110	3	1	32	0	1.4916 2.3962 	0
NO_2,1_10_119_1_45_180.avi	147	110	1	1	1	1	1.0086 	1.8169 
OC_4,1_10_1_114_45_0.avi	270	110	412	1	421	1	1.1375 2.7313 4.5624 	1.8681 
OB_4,1_10_119_1_45_0.avi	298	110	341	1	132	1	1.1668 2.1048 3.8148 	2.7267 
OC_4,1_10_1_229_0_22.5.avi	285	110	34	14	42	14	1.2585 3.0118 	0.78625 2.1791 
OC_2,1_10_1_229_45_180.avi	115	110	4	3	4	3	2.268 	1.2268 
OC_4,1_10_1_229_0_112.5.avi	193	110	234	3	423	3	1.8505 2.6837 4.8754 	1.1393 
OB_2,7_10_1_229_45_315.avi	33	110	41	0	41	0	0.53537 1.3113 	0
OC_2,1_10_119_1_45_315.avi	41	110	3	1	3	1	1.0062 	1.8719 
OB_4,10_10_1_114_0_45.avi	50	110	142	1	421	1	1.0456 1.9023 2.7506 	3.3181 
OB_4,10_10_229_344_0_90.avi	245	110	42	41	42	14	1.7691 3.514 	0.81565 2.4393 
NO_2,10_10_1_344_0_270.avi	179	110	1	4	1	4	1.0616 	2.2758 
NO_4,10_10_229_344_0_292.5.avi	69	110	34	14	43	14	0.95217 2.7534 	1.8343 4.0734 
OB_OC_2,1_10_1_229_45_225.avi	179	110	12	0	12	0	1.2935 2.3976 	0
OC_2,1_10_1_1_45_315.avi	54	110	12	0	12	0	0.85668 1.7932 	0
NO_4,1_10_1_114_45_0.avi	20	110	412	1	124	1	0.91736 1.5961 3.4137 	2.3964 
OC_2,1_10_1_1_45_180.avi	307	110	34	0	43	0	1.3733 2.4051 	0
NO_2,1_10_1_1_45_270.avi	202	110	31	0	13	0	1.0375 1.9342 	0
OB_OC_4,10_10_1_344_0_225.avi	335	110	142	1	142	1	1.6509 2.5305 3.6595 	0.72433 
OB_OC_4,1_10_1_114_45_315.avi	251	110	341	4	134	4	1.1259 1.7173 3.6935 	2.7346 
OB_OC_2,1_10_1_344_45_135.avi	210	110	32	0	32	0	1.1917 2.2889 	0
OB_OC_4,10_10_1_229_0_180.avi	294	110	143	3	3411	3	1.1085 2.0998 2.971 3.7245 	4.8441 
OB_OC_2,7_10_1_1_45_135.avi	317	110	4	1	4	1	1.9618 	1.0004 
OB_OC_2,10_10_114_229_0_180.avi	357	110	14	0	41	0	1.0379 1.8846 	0
OC_4,10_10_229_344_0_315.avi	1	110	43	41	34	14	1.0834 3.309 	1.7491 2.3336 
OC_4,1_1_1_119_0_180.avi	312	110	12	31	124	1	0.97193 1.91 3.1182 	2.4774 
NO_4,10_10_1_344_0_292.5.avi	221	110	12	14	12	14	0.85385 3.7262 	1.8542 2.8281 
OC_2,1_10_119_229_45_45.avi	357	110	0	43	0	34	0	1.09 2.1133 
OB_OC_4,1_10_1_229_45_135.avi	190	110	32	42	23	24	0.83693 3.3082 	1.6592 2.7149 
OB_4,1_10_1_344_45_90.avi	173	110	341	4	134	4	1.0796 1.7524 3.7121 	2.7427 
NO_4,10_10_1_344_0_270.avi	289	110	12	41	12	14	0.9891 3.8281 	1.7321 2.8202 

