
videoName	rotAngle	videoLength	firstTargets	secondTargets	clickedItemsfromFirstVid	clickedItemsfromSecondVid	respnseTimeFirstVid	respnseTimeSecondVid
NO_2,1_10_1_1_45_315.avi	278	110	12	0	12	0	1.3337 2.4919 	0
NO_2,1_10_119_344_45_90.avi	117	110	3	4	3	4	1.7743 	2.6967 
OB_4,1_10_1_344_45_315.avi	283	110	3412	0	2413	0	1.5027 2.6067 3.9691 4.8482 	0
OB_2,10_10_114_229_0_135.avi	170	110	14	0	14	0	1.6369 3.0546 	0
NO_4,10_10_229_344_0_315.avi	13	110	43	41	34	14	4.1046 5.7935 	1.4981 2.6968 
OB_2,1_10_1_1_45_0.avi	64	110	0	14	0	1	0	4.7078 
OC_4,1_10_119_344_0_247.5.avi	260	110	13	23	13	32	2.1159 4.3395 	1.2193 3.2534 
OB_OC_4,1_10_119_114_45_225.avi	171	110	342	1	124	1	1.3025 3.9823 5.5915 	2.4389 
OC_4,1_10_119_344_45_90.avi	55	110	31	41	13	14	2.3203 4.6336 	1.0729 3.6886 
OB_4,1_10_119_229_45_225.avi	123	110	342	4	244	14	1.2421 3.8576 5.1536 	2.4025 5.8887 
NO_2,10_10_1_114_0_270.avi	219	110	2	1	2	1	1.7476 	3.7882 
OB_2,1_10_1_1_45_225.avi	70	110	1	4	1	4	2.896 	1.4708 
OC_4,1_10_1_1_0_157.5.avi	266	110	234	2	14	21	1.7228 3.1634 	4.0665 7.4505 
OB_4,10_10_1_114_0_90.avi	88	110	43	14	43	41	4.0034 4.9629 	1.2842 2.6815 
OB_OC_2,1_10_119_344_45_135.avi	331	110	32	0	0	24	0	1.1675 2.7039 
OB_2,1_10_119_114_45_135.avi	97	110	12	0	23	0	1.2817 2.5394 	0
OC_4,1_10_1_1_0_247.5.avi	276	110	123	1	312	1	1.9778 3.3077 6.7875 	5.3378 
OB_OC_2,10_10_1_114_0_180.avi	68	110	14	0	14	0	1.646 3.0707 	0
OB_OC_4,10_10_114_229_0_0.avi	104	110	14	32	132	2	2.0843 4.807 6.2217 	3.5883 
OC_2,1_10_1_114_45_90.avi	33	110	4	1	4	1	2.8498 	1.6166 
OC_2,10_10_114_229_0_225.avi	208	110	0	43	0	34	0	0.96882 1.9926 
NO_4,10_10_1_229_0_90.avi	247	110	12	43	12	34	1.2338 4.7609 	2.3059 3.5436 
OB_4,10_10_1_229_0_225.avi	197	110	14	21	411	12	1.2554 3.5592 4.1761 	2.4472 5.0558 
OC_4,10_10_1_229_0_157.5.avi	154	110	12	34	21	43	1.6936 3.6873 	2.462 4.4797 
OB_OC_2,1_10_1_114_45_225.avi	232	110	1	1	1	1	3.3748 	1.4639 
NO_4,10_10_229_344_0_202.5.avi	234	110	34	14	43	14	2.3923 3.8724 	1.0718 4.8079 
OB_2,10_10_1_114_0_45.avi	245	110	1	1	1	1	2.3526 	1.474 
OB_4,1_1_1_119_0_180.avi	229	110	34	42	34	24	1.2022 3.3624 	2.3711 4.8201 
OC_4,1_10_1_344_45_135.avi	341	110	41	13	14	13	2.2171 4.7279 	0.8746 3.3785 
NO_4,10_10_1_344_0_315.avi	76	110	12	41	21	14	1.635 4.4899 	0.64213 2.9605 
OB_4,10_10_1_344_0_45.avi	256	110	142	4	2411	4	1.7882 3.0453 4.2202 4.7653 	5.428 
NO_4,10_10_1_229_0_270.avi	86	110	12	42	21	42	1.1104 3.2322 	2.1526 4.3128 
OB_2,10_10_229_344_0_0.avi	43	110	43	0	43	0	2.3063 6.1695 	0
NO_4,1_10_1_229_45_135.avi	219	110	41	31	14	31	1.6522 4.0508 	3.0191 5.1215 
NO_4,1_10_1_1_0_247.5.avi	163	110	123	1	213	1	2.7762 3.9446 5.289 	1.6313 
OB_OC_4,10_10_114_229_0_45.avi	166	110	14	21	41	21	1.0307 1.9338 	2.7815 3.9579 
NO_2,10_10_1_229_0_180.avi	239	110	2	4	2	4	1.4183 	2.2022 
OC_2,10_10_114_344_0_315.avi	278	110	1	4	1	4	1.0057 	2.03 
OB_OC_2,7_10_1_344_45_90.avi	127	110	4	4	4	4	0.94449 	1.8551 
OC_2,10_10_1_344_0_315.avi	239	110	1	4	1	4	2.6318 	1.2629 

