
videoName	rotAngle	videoLength	firstTargets	secondTargets	clickedItemsfromFirstVid	clickedItemsfromSecondVid	respnseTimeFirstVid	respnseTimeSecondVid
OB_2,1_10_119_1_45_0.avi	301	110	1	1	3	1	1.4639 	2.4628 
OB_OC_4,7_10_1_344_45_135.avi	277	110	3241	0	342	3	1.76 2.5125 3.4639 	4.3515 
OB_2,1_10_119_229_45_270.avi	61	110	41	0	12	0	1.3906 2.2867 	0
OB_OC_4,1_10_1_344_45_270.avi	311	110	412	4	324	4	1.2107 2.9616 3.8666 	2.0744 
OC_4,1_10_1_229_45_0.avi	357	110	12	31	12	31	1.5976 2.4394 	0.97379 3.3574 
OB_2,7_10_1_344_45_0.avi	186	110	4	4	3	4	1.8476 	1.1195 
OC_4,10_10_1_229_0_292.5.avi	319	110	12	24	21	42	1.17 2.8969 	2.0417 3.792 
OC_2,1_10_119_344_45_135.avi	212	110	1	1	1	1	1.6961 	0.92005 
OB_OC_4,1_10_119_114_45_90.avi	56	110	3412	0	134	2	1.2924 2.1895 3.6601 	6.1789 
OB_OC_2,1_10_119_114_45_225.avi	72	110	3	1	3	1	1.6898 	3.4332 
NO_2,1_10_119_1_45_180.avi	147	110	1	1	1	1	1.9783 	1.0099 
OC_4,1_10_1_114_45_0.avi	270	110	412	1	234	1	1.349 2.4142 4.2204 	3.4599 
OB_4,1_10_119_1_45_0.avi	298	110	341	1	231	2	0.89925 2.9249 4.005 	1.8931 
OC_4,1_10_1_229_0_22.5.avi	285	110	34	14	24	14	1.7628 2.7936 	3.7141 5.0735 
OC_2,1_10_1_229_45_180.avi	115	110	4	3	4	3	2.178 	1.3846 
OC_4,1_10_1_229_0_112.5.avi	193	110	234	3	421	3	1.1473 3.9074 4.6355 	1.7382 
OB_2,7_10_1_229_45_315.avi	33	110	41	0	14	0	0.93386 1.8773 	0
OC_2,1_10_119_1_45_315.avi	41	110	3	1	3	1	1.1706 	1.9784 
OB_4,10_10_1_114_0_45.avi	50	110	142	1	421	1	1.2881 2.1933 3.4165 	4.3051 
OB_4,10_10_229_344_0_90.avi	245	110	42	41	24	14	1.0225 2.8047 	2.0542 3.4056 
NO_2,10_10_1_344_0_270.avi	179	110	1	4	1	4	2.4875 	1.176 
NO_4,10_10_229_344_0_292.5.avi	69	110	34	14	43	14	1.0092 2.3282 	1.7826 3.3031 
OB_OC_2,1_10_1_229_45_225.avi	179	110	12	0	21	0	1.2728 2.0482 	0
OC_2,1_10_1_1_45_315.avi	54	110	12	0	12	0	1.1629 2.1149 	0
NO_4,1_10_1_114_45_0.avi	20	110	412	1	124	1	1.1407 1.9311 4.2116 	2.6851 
OC_2,1_10_1_1_45_180.avi	307	110	34	0	43	0	1.6471 2.7033 	0
NO_2,1_10_1_1_45_270.avi	202	110	31	0	13	0	1.139 2.2187 	0
OB_OC_4,10_10_1_344_0_225.avi	335	110	142	1	214	1	1.6794 3.0941 4.2296 	2.3511 
OB_OC_4,1_10_1_114_45_315.avi	251	110	341	4	134	4	1.1895 1.9829 3.5418 	2.8381 
OB_OC_2,1_10_1_344_45_135.avi	210	110	32	0	23	0	1.3746 2.3585 	0
OB_OC_4,10_10_1_229_0_180.avi	294	110	143	3	431	3	0.97149 1.5634 2.4092 	3.426 
OB_OC_2,7_10_1_1_45_135.avi	317	110	4	1	4	1	1.0915 	1.8585 
OB_OC_2,10_10_114_229_0_180.avi	357	110	14	0	14	0	0.99862 2.0842 	0
OC_4,10_10_229_344_0_315.avi	1	110	43	41	34	14	1.1738 2.3791 	3.6208 4.6296 
OC_4,1_1_1_119_0_180.avi	312	110	12	31	12	31	1.1721 2.7972 	1.8702 3.7806 
NO_4,10_10_1_344_0_292.5.avi	221	110	12	14	21	14	1.1878 3.6921 	4.7483 6.3236 
OC_2,1_10_119_229_45_45.avi	357	110	0	43	0	34	0	1.1014 2.2608 
OB_OC_4,1_10_1_229_45_135.avi	190	110	32	42	122	42	1.9878 2.868 4.3959 	1.3465 5.851 
OB_4,1_10_1_344_45_90.avi	173	110	341	4	413	4	1.3457 3.49 4.426 	2.7121 
NO_4,10_10_1_344_0_270.avi	289	110	12	41	12	14	1.2858 4.2227 	2.1261 3.3755 

