
videoName	rotAngle	videoLength	firstTargets	secondTargets	clickedItemsfromFirstVid	clickedItemsfromSecondVid	respnseTimeFirstVid	respnseTimeSecondVid
NO_2,1_10_1_1_45_315.avi	278	110	12	0	12	0	1.4209 2.5406 	0
NO_2,1_10_119_344_45_90.avi	117	110	3	4	1	4	2.6548 	1.5439 
OB_4,1_10_1_344_45_315.avi	283	110	3412	0	2134	0	1.2585 2.2493 3.1115 4.5057 	0
OB_2,10_10_114_229_0_135.avi	170	110	14	0	14	0	1.4327 2.4984 	0
NO_4,10_10_229_344_0_315.avi	13	110	43	41	34	14	1.2899 4.2235 	2.0174 2.9041 
OB_2,1_10_1_1_45_0.avi	64	110	0	14	0	41	0	1.8115 3.2292 
OC_4,1_10_119_344_0_247.5.avi	260	110	13	23	13	32	1.2137 3.6287 	2.2853 3.0134 
OB_OC_4,1_10_119_114_45_225.avi	171	110	342	1	423	1	1.4388 2.6974 4.6491 	3.5756 
OC_4,1_10_119_344_45_90.avi	55	110	31	41	31	14	1.9874 3.643 	1.1706 2.7065 
OB_4,1_10_119_229_45_225.avi	123	110	342	4	324	4	1.4584 2.362 3.2417 	4.066 
NO_2,10_10_1_114_0_270.avi	219	110	2	1	2	1	2.1387 	1.2909 
OB_2,1_10_1_1_45_225.avi	70	110	1	4	1	4	2.6317 	1.6662 
OC_4,1_10_1_1_0_157.5.avi	266	110	234	2	213	2	1.1191 3.193 4.0562 	2.08 
OB_4,10_10_1_114_0_90.avi	88	110	43	14	34	14	3.2146 3.6126 	1.2364 2.3719 
OB_OC_2,1_10_119_344_45_135.avi	331	110	32	0	4	4	1.3049 	2.5117 
OB_2,1_10_119_114_45_135.avi	97	110	12	0	23	0	1.2413 2.2795 	0
OC_4,1_10_1_1_0_247.5.avi	276	110	123	1	213	1	2.1042 2.9828 3.7528 	1.439 
OB_OC_2,10_10_1_114_0_180.avi	68	110	14	0	14	0	1.4343 2.6401 	0
OB_OC_4,10_10_114_229_0_0.avi	104	110	14	32	421	2	1.9747 3.6807 5.1049 	2.607 
OC_2,1_10_1_114_45_90.avi	33	110	4	1	4	1	1.9976 	1.0073 
OC_2,10_10_114_229_0_225.avi	208	110	0	43	0	43	0	1.5651 2.6826 
NO_4,10_10_1_229_0_90.avi	247	110	12	43	21	43	3.0291 5.6776 	1.5192 4.4932 
OB_4,10_10_1_229_0_225.avi	197	110	14	21	41	12	1.7101 2.6691 	1.2149 3.438 
OC_4,10_10_1_229_0_157.5.avi	154	110	12	34	12	34	1.7728 3.4773 	1.1575 2.6071 
OB_OC_2,1_10_1_114_45_225.avi	232	110	1	1	1	1	1.0069 	1.7584 
NO_4,10_10_229_344_0_202.5.avi	234	110	34	14	34	14	0.93543 4.287 	3.15 5.3447 
OB_2,10_10_1_114_0_45.avi	245	110	1	1	1	1	2.0962 	1.1298 
OB_4,1_1_1_119_0_180.avi	229	110	34	42	43	24	2.3257 4.5717 	1.3802 3.3888 
OC_4,1_10_1_344_45_135.avi	341	110	41	13	14	31	1.237 3.6451 	2.3944 4.596 
NO_4,10_10_1_344_0_315.avi	76	110	12	41	12	14	1.6076 2.6493 	3.6477 4.8809 
OB_4,10_10_1_344_0_45.avi	256	110	142	4	24	14	1.6642 2.7059 	3.4983 4.4887 
NO_4,10_10_1_229_0_270.avi	86	110	12	42	12	24	2.1016 4.0445 	1.2923 2.9314 
OB_2,10_10_229_344_0_0.avi	43	110	43	0	34	0	1.8813 3.1116 	0
NO_4,1_10_1_229_45_135.avi	219	110	41	31	14	31	1.2994 3.873 	2.7151 5.4259 
NO_4,1_10_1_1_0_247.5.avi	163	110	123	1	213	1	2.0422 2.8979 4.2114 	1.0354 
OB_OC_4,10_10_114_229_0_45.avi	166	110	14	21	41	21	0.95292 3.2977 	1.7777 3.8911 
NO_2,10_10_1_229_0_180.avi	239	110	2	4	2	4	2.0936 	1.3416 
OC_2,10_10_114_344_0_315.avi	278	110	1	4	1	4	2.1551 	1.4972 
OB_OC_2,7_10_1_344_45_90.avi	127	110	4	4	4	4	2.5385 	1.5143 
OC_2,10_10_1_344_0_315.avi	239	110	1	4	1	4	2.9718 	1.5645 

