
videoName	rotAngle	videoLength	firstTargets	secondTargets	clickedItemsfromFirstVid	clickedItemsfromSecondVid	respnseTimeFirstVid	respnseTimeSecondVid
OB_2,1_10_119_114_45_270.avi	175	110	32	0	2	4	2.1707 	1.0578 
OC_4,10_10_229_344_0_315.avi	142	110	43	41	43	41	1.2779 4.6199 	2.34 3.4361 
NO_4,1_10_1_229_0_22.5.avi	242	110	34	14	34	41	1.6051 4.1509 	2.5267 3.4786 
OB_OC_4,10_10_1_114_0_135.avi	267	110	42	14	24	14	2.7873 3.6585 	1.2419 2.1311 
OC_4,1_10_1_229_45_135.avi	188	110	41	31	34	31	1.3337 3.7562 	2.5579 4.5486 
OB_OC_2,1_10_1_229_45_270.avi	126	110	41	0	411	0	1.6067 2.7033 5.0245 	0
OC_4,1_1_1_119_0_180.avi	54	110	12	31	32	41	2.1899 2.9499 	1.2154 3.7019 
OC_4,1_10_1_1_0_202.5.avi	211	110	123	1	213	1	1.123 2.714 4.5142 	1.8251 
OB_4,1_10_119_229_45_45.avi	95	110	3412	0	241	2	0.99721 1.7906 2.9889 	3.9818 
OB_OC_2,1_10_1_1_45_180.avi	17	110	2	4	2	4	2.068 	1.4212 
OB_2,1_10_1_344_45_315.avi	272	110	12	0	12	0	1.3102 2.6711 	0
OB_OC_2,10_10_114_344_0_135.avi	88	110	1	4	1	4	1.3314 	2.0599 
OB_OC_4,1_7_1_1_45_90.avi	160	110	34	32	41	31	3.0304 3.8068 	1.1 2.1248 
OB_OC_4,1_10_1_114_45_270.avi	248	110	412	1	412	1	1.3779 2.3404 4.4827 	2.8445 
NO_4,1_10_119_344_45_90.avi	130	110	31	41	31	14	3.1066 4.7383 	2.1531 3.6751 
OC_2,10_10_1_344_0_0.avi	266	110	0	41	0	14	0	1.034 2.2239 
OC_2,1_10_1_114_45_315.avi	143	110	2	1	2	1	1.5909 	1.007 
OC_2,10_10_114_229_0_90.avi	247	110	1	4	1	4	1.2691 	2.3657 
OC_2,1_1_1_119_0_270.avi	254	110	4	1	4	1	1.7033 	2.3521 
OB_2,1_10_119_114_45_180.avi	160	110	31	0	31	0	1.3685 2.3668 	0
NO_2,1_10_1_114_45_90.avi	8	110	4	1	4	1	1.9242 	1.0924 
OB_OC_2,10_10_1_114_0_315.avi	120	110	4	4	4	4	2.8693 	1.3818 
OC_2,10_10_229_344_0_270.avi	153	110	3	1	3	1	1.9465 	1.3386 
OB_4,1_10_1_229_45_0.avi	98	110	34	42	43	42	1.4769 4.7088 	2.2992 3.909 
OB_OC_2,1_10_1_344_45_225.avi	71	110	34	0	41	0	2.3614 3.6505 	0
OB_2,1_10_1_114_45_180.avi	296	110	1	1	1	1	1.3462 	3.0676 
NO_4,1_10_1_1_0_157.5.avi	155	110	234	2	423	2	1.2727 3.6957 4.9045 	2.3279 
OC_4,1_10_119_344_45_90.avi	320	110	31	41	13	14	1.4193 3.4684 	2.4286 4.2273 
OB_2,1_7_1_1_45_270.avi	141	110	34	0	43	0	1.1013 2.4372 	0
OB_4,1_10_1_1_45_225.avi	277	110	41	14	14	14	1.1797 3.7808 	2.1162 3.0607 
OC_4,10_10_1_229_0_22.5.avi	143	110	1	134	1	314	2.9366 	1.3623 2.202 4.0016 
OB_OC_4,1_1_1_119_0_45.avi	292	110	41	34	421	2	1.676 3.0015 4.0991 	0.93051 
NO_4,10_10_114_229_0_90.avi	272	110	1	432	14	23	2.5104 3.2943 	1.2388 1.9105 
NO_2,10_10_1_344_0_0.avi	136	110	0	41	0	14	0	0.86972 1.5813 
NO_4,1_10_1_229_45_0.avi	78	110	12	31	21	13	2.2809 3.2383 	1.5513 3.8083 
NO_2,10_10_114_344_0_270.avi	285	110	1	4	1	4	2.3995 	1.6241 
NO_2,1_10_119_1_45_315.avi	342	110	3	1	3	1	1.5262 	2.3904 
NO_2,10_10_114_229_0_225.avi	118	110	0	43	0	43	0	1.1095 2.9306 
OC_4,1_10_1_114_45_0.avi	242	110	412	1	243	1	1.1327 2.6516 3.7098 	1.6697 
NO_2,10_10_1_114_0_225.avi	158	110	1	1	1	1	1.0625 	2.0464 

