
videoName	rotAngle	videoLength	firstTargets	secondTargets	clickedItemsfromFirstVid	clickedItemsfromSecondVid	respnseTimeFirstVid	respnseTimeSecondVid
NO_2,1_10_1_1_45_315.avi	278	110	12	0	21	0	1.7301 2.8576 	0
NO_2,1_10_119_344_45_90.avi	117	110	3	4	3	4	1.4216 	2.19 
OB_4,1_10_1_344_45_315.avi	283	110	3412	0	3124	0	1.0484 1.9131 2.9613 4.0559 	0
OB_2,10_10_114_229_0_135.avi	170	110	14	0	14	0	1.6669 2.6981 	0
NO_4,10_10_229_344_0_315.avi	13	110	43	41	43	14	2.551 3.3833 	1.0878 4.5018 
OB_2,1_10_1_1_45_0.avi	64	110	0	14	0	14	0	1.909 3.1178 
OC_4,1_10_119_344_0_247.5.avi	260	110	13	23	13	32	2.3179 4.5026 	1.3979 3.4943 
OB_OC_4,1_10_119_114_45_225.avi	171	110	342	1	243	1	2.1871 3.353 5.3068 	1.3144 
OC_4,1_10_119_344_45_90.avi	55	110	31	41	31	14	2.0487 3.9706 	1.0983 2.874 
OB_4,1_10_119_229_45_225.avi	123	110	342	4	4421	4	1.2604 2.0438 4.044 5.2747 	2.7155 
NO_2,10_10_1_114_0_270.avi	219	110	2	1	2	1	1.3709 	2.3703 
OB_2,1_10_1_1_45_225.avi	70	110	1	4	1	4	2.617 	1.5139 
OC_4,1_10_1_1_0_157.5.avi	266	110	234	2	23	12	1.3916 2.6872 	4.8788 8.0494 
OB_4,10_10_1_114_0_90.avi	88	110	43	14	34	41	2.3693 3.1522 	1.2029 4.0982 
OB_OC_2,1_10_119_344_45_135.avi	331	110	32	0	3	2	2.7431 	1.2939 
OB_2,1_10_119_114_45_135.avi	97	110	12	0	4	1	3.7742 	1.8369 
OC_4,1_10_1_1_0_247.5.avi	276	110	123	1	312	1	1.676 2.5332 3.915 	4.7962 
OB_OC_2,10_10_1_114_0_180.avi	68	110	14	0	14	0	1.1855 2.4192 	0
OB_OC_4,10_10_114_229_0_0.avi	104	110	14	32	13	32	2.772 4.084 	1.9652 5.2679 
OC_2,1_10_1_114_45_90.avi	33	110	4	1	4	1	2.2034 	1.426 
OC_2,10_10_114_229_0_225.avi	208	110	0	43	0	34	0	1.3827 2.4704 
NO_4,10_10_1_229_0_90.avi	247	110	12	43	21	43	2.1651 4.2934 	1.2839 3.3879 
OB_4,10_10_1_229_0_225.avi	197	110	14	21	41	12	2.386 3.6901 	1.5224 4.5767 
OC_4,10_10_1_229_0_157.5.avi	154	110	12	34	12	34	1.0716 5.088 	1.9997 3.4553 
OB_OC_2,1_10_1_114_45_225.avi	232	110	1	1	1	1	1.9178 	1.1957 
NO_4,10_10_229_344_0_202.5.avi	234	110	34	14	34	41	1.9174 4.1729 	1.115 2.9411 
OB_2,10_10_1_114_0_45.avi	245	110	1	1	1	1	2.4069 	1.2554 
OB_4,1_1_1_119_0_180.avi	229	110	34	42	34	24	1.4545 3.4712 	2.606 4.7024 
OC_4,1_10_1_344_45_135.avi	341	110	41	13	41	13	1.6172 5.0417 	2.6894 4.0095 
NO_4,10_10_1_344_0_315.avi	76	110	12	41	21	14	1.7772 3.9952 	1.0586 3.0119 
OB_4,10_10_1_344_0_45.avi	256	110	142	4	1142	4	1.3096 1.8536 3.9815 5.0536 	2.3104 
NO_4,10_10_1_229_0_270.avi	86	110	12	42	12	24	1.2636 4.4472 	2.3282 3.4632 
OB_2,10_10_229_344_0_0.avi	43	110	43	0	34	0	1.7069 3.157 	0
NO_4,1_10_1_229_45_135.avi	219	110	41	31	14	31	1.0851 2.8763 	2.0455 3.9495 
NO_4,1_10_1_1_0_247.5.avi	163	110	123	1	213	1	2.2902 3.1359 3.9921 	1.5686 
OB_OC_4,10_10_114_229_0_45.avi	166	110	14	21	14	12	1.8983 2.8189 	1.2421 3.9543 
NO_2,10_10_1_229_0_180.avi	239	110	2	4	2	4	1.2326 	2.408 
OC_2,10_10_114_344_0_315.avi	278	110	1	4	1	4	1.531 	2.3059 
OB_OC_2,7_10_1_344_45_90.avi	127	110	4	4	3	4	1.0093 	1.9932 
OC_2,10_10_1_344_0_315.avi	239	110	1	4	1	4	2.0398 	1.1841 

