
videoName	rotAngle	videoLength	firstTargets	secondTargets	clickedItemsfromFirstVid	clickedItemsfromSecondVid	respnseTimeFirstVid	respnseTimeSecondVid
OB_2,1_10_119_1_45_0.avi	301	110	1	1	3	1	2.422 	1.2855 
OB_OC_4,7_10_1_344_45_135.avi	277	110	3241	0	1243	0	1.1847 2.1775 3.305 4.7157 	0
OB_2,1_10_119_229_45_270.avi	61	110	41	0	12	0	1.6156 3.2153 	0
OB_OC_4,1_10_1_344_45_270.avi	311	110	412	4	432	4	1.166 3.2684 4.8351 	2.275 
OC_4,1_10_1_229_45_0.avi	357	110	12	31	21	13	2.7387 3.9839 	1.5439 4.7687 
OB_2,7_10_1_344_45_0.avi	186	110	4	4	3	4	1.6755 	2.8359 
OC_4,10_10_1_229_0_292.5.avi	319	110	12	24	21	24	1.3804 3.955 	2.651 5.2291 
OC_2,1_10_119_344_45_135.avi	212	110	1	1	1	1	1.4289 	2.9 
OB_OC_4,1_10_119_114_45_90.avi	56	110	3412	0	4213	0	1.8285 3.4457 4.6615 5.8449 	0
OB_OC_2,1_10_119_114_45_225.avi	72	110	3	1	3	1	2.2019 	4.2908 
NO_2,1_10_119_1_45_180.avi	147	110	1	1	1	1	3.4846 	1.2785 
OC_4,1_10_1_114_45_0.avi	270	110	412	1	423	1	2.8701 5.3505 6.8156 	3.9597 
OB_4,1_10_119_1_45_0.avi	298	110	341	1	213	1	1.1875 2.1305 3.0017 	4.1387 
OC_4,1_10_1_229_0_22.5.avi	285	110	34	14	342	4	2.5175 3.8201 5.3909 	1.2275 
OC_2,1_10_1_229_45_180.avi	115	110	4	3	4	3	2.1963 	1.6363 
OC_4,1_10_1_229_0_112.5.avi	193	110	234	3	341	3	1.5577 3.5195 4.6784 	2.6618 
OB_2,7_10_1_229_45_315.avi	33	110	41	0	14	0	1.1828 2.5087 	0
OC_2,1_10_119_1_45_315.avi	41	110	3	1	3	1	1.2488 	2.088 
OB_4,10_10_1_114_0_45.avi	50	110	142	1	241	1	1.2913 2.4288 4.2195 	3.5717 
OB_4,10_10_229_344_0_90.avi	245	110	42	41	42	14	2.6644 5.1533 	1.113 4.0268 
NO_2,10_10_1_344_0_270.avi	179	110	1	4	1	4	3.4331 	1.61 
NO_4,10_10_229_344_0_292.5.avi	69	110	34	14	34	14	2.5053 5.5627 	1.0492 4.506 
OB_OC_2,1_10_1_229_45_225.avi	179	110	12	0	12	0	1.2809 2.8487 	0
OC_2,1_10_1_1_45_315.avi	54	110	12	0	21	0	1.6909 2.9486 	0
NO_4,1_10_1_114_45_0.avi	20	110	412	1	124	1	1.3754 2.1294 3.769 	2.8385 
OC_2,1_10_1_1_45_180.avi	307	110	34	0	4	4	2.6199 	1.5472 
NO_2,1_10_1_1_45_270.avi	202	110	31	0	13	0	1.1467 2.1924 	0
OB_OC_4,10_10_1_344_0_225.avi	335	110	142	1	142	1	1.3704 3.4404 5.0351 	2.3552 
OB_OC_4,1_10_1_114_45_315.avi	251	110	341	4	423	4	3.2358 4.4251 5.7152 	1.3293 
OB_OC_2,1_10_1_344_45_135.avi	210	110	32	0	32	0	1.4534 3.0866 	0
OB_OC_4,10_10_1_229_0_180.avi	294	110	143	3	1134	3	1.3455 2.3289 5.3279 5.9193 	3.8713 
OB_OC_2,7_10_1_1_45_135.avi	317	110	4	1	4	1	3.2824 	1.6009 
OB_OC_2,10_10_114_229_0_180.avi	357	110	14	0	14	0	1.5338 2.9914 	0
OC_4,10_10_229_344_0_315.avi	1	110	43	41	43	14	1.3963 5.7572 	3.0833 4.0757 
OC_4,1_1_1_119_0_180.avi	312	110	12	31	21	12	2.6134 5.8598 	1.6913 8.036 
NO_4,10_10_1_344_0_292.5.avi	221	110	12	14	12	14	1.7894 3.6375 	2.8221 5.1335 
OC_2,1_10_119_229_45_45.avi	357	110	0	43	0	34	0	1.2459 2.4791 
OB_OC_4,1_10_1_229_45_135.avi	190	110	32	42	23	24	7.2027 9.931 	1.6968 5.4967 
OB_4,1_10_1_344_45_90.avi	173	110	341	4	41	43	2.4343 3.6331 	1.5621 4.4574 
NO_4,10_10_1_344_0_270.avi	289	110	12	41	12	14	0.95795 2.5746 	1.7758 4.2153 

