
videoName	rotAngle	videoLength	firstTargets	secondTargets	clickedItemsfromFirstVid	clickedItemsfromSecondVid	respnseTimeFirstVid	respnseTimeSecondVid
OB_2,1_10_119_114_45_270.avi	175	110	32	0	43	0	1.4728 3.8026 	0
OC_4,10_10_229_344_0_315.avi	142	110	43	41	34	14	1.2761 4.9322 	2.1507 3.8462 
NO_4,1_10_1_229_0_22.5.avi	242	110	34	14	34	41	1.7497 6.4622 	3.71 5.4364 
OB_OC_4,10_10_1_114_0_135.avi	267	110	42	14	42	41	1.152 1.927 	2.7687 3.7676 
OC_4,1_10_1_229_45_135.avi	188	110	41	31	34	31	1.1779 3.0431 	2.1858 4.3222 
OB_OC_2,1_10_1_229_45_270.avi	126	110	41	0	1	2	1.3916 	2.6797 
OC_4,1_1_1_119_0_180.avi	54	110	12	31	23	13	2.1142 3.9144 	1.4185 3.0193 
OC_4,1_10_1_1_0_202.5.avi	211	110	123	1	213	1	2.0463 3.3663 4.5805 	1.0704 
OB_4,1_10_119_229_45_45.avi	95	110	3412	0	241	2	1.0849 1.983 5.0449 	3.4376 
OB_OC_2,1_10_1_1_45_180.avi	17	110	2	4	2	4	1.8204 	3.1963 
OB_2,1_10_1_344_45_315.avi	272	110	12	0	12	0	1.3911 3.0891 	0
OB_OC_2,10_10_114_344_0_135.avi	88	110	1	4	1	4	1.4096 	2.8577 
OB_OC_4,1_7_1_1_45_90.avi	160	110	34	32	431	2	4.4271 6.0443 7.2516 	1.0276 
OB_OC_4,1_10_1_114_45_270.avi	248	110	412	1	42	1	2.4745 8.9647 	7.8911 
NO_4,1_10_119_344_45_90.avi	130	110	31	41	13	14	2.7325 4.4534 	1.1801 3.862 
OC_2,10_10_1_344_0_0.avi	266	110	0	41	0	14	0	1.6608 2.8506 
OC_2,1_10_1_114_45_315.avi	143	110	2	1	2	1	1.7578 	1.0532 
OC_2,10_10_114_229_0_90.avi	247	110	1	4	1	4	2.627 	1.3464 
OC_2,1_1_1_119_0_270.avi	254	110	4	1	4	1	2.3299 	1.2254 
OB_2,1_10_119_114_45_180.avi	160	110	31	0	13	0	2.1208 3.3685 	0
NO_2,1_10_1_114_45_90.avi	8	110	4	1	4	1	2.7037 	1.654 
OB_OC_2,10_10_1_114_0_315.avi	120	110	4	4	4	4	2.1617 	1.0078 
OC_2,10_10_229_344_0_270.avi	153	110	3	1	3	1	2.3366 	1.3143 
OB_4,1_10_1_229_45_0.avi	98	110	34	42	43	42	1.2399 4.4648 	1.9221 3.5204 
OB_OC_2,1_10_1_344_45_225.avi	71	110	34	0	43	0	1.5438 2.952 	0
OB_2,1_10_1_114_45_180.avi	296	110	1	1	1	1	2.823 	1.479 
NO_4,1_10_1_1_0_157.5.avi	155	110	234	2	234	2	1.3056 2.3373 4.53 	3.577 
OC_4,1_10_119_344_45_90.avi	320	110	31	41	31	14	2.5021 4.3003 	1.412 3.1733 
OB_2,1_7_1_1_45_270.avi	141	110	34	0	34	0	1.1739 2.7413 	0
OB_4,1_10_1_1_45_225.avi	277	110	41	14	34	14	2.8085 4.9343 	1.6725 4.1265 
OC_4,10_10_1_229_0_22.5.avi	143	110	1	134	1	413	2.1284 	1.2467 2.9691 4.1853 
OB_OC_4,1_1_1_119_0_45.avi	292	110	41	34	431	2	1.5522 3.7439 4.7831 	2.758 
NO_4,10_10_114_229_0_90.avi	272	110	1	432	1	423	4.4303 	1.0219 2.2452 3.4629 
NO_2,10_10_1_344_0_0.avi	136	110	0	41	0	14	0	1.0127 2.3003 
NO_4,1_10_1_229_45_0.avi	78	110	12	31	12	31	1.2871 4.0397 	1.9697 3.0484 
NO_2,10_10_114_344_0_270.avi	285	110	1	4	1	4	1.1664 	2.8131 
NO_2,1_10_119_1_45_315.avi	342	110	3	1	3	1	1.0998 	2.8346 
NO_2,10_10_114_229_0_225.avi	118	110	0	43	0	43	0	1.466 2.6002 
OC_4,1_10_1_114_45_0.avi	242	110	412	1	324	1	1.4663 2.6088 4.5371 	3.457 
NO_2,10_10_1_114_0_225.avi	158	110	1	1	1	1	2.3742 	1.3674 

