
videoName	rotAngle	videoLength	firstTargets	secondTargets	clickedItemsfromFirstVid	clickedItemsfromSecondVid	respnseTimeFirstVid	respnseTimeSecondVid
OB_2,1_10_119_114_45_270.avi	175	110	32	0	12	0	2.0141 2.8374 	0
OC_4,10_10_229_344_0_315.avi	142	110	43	41	34	14	1.7758 4.0009 	2.8101 4.9604 
NO_4,1_10_1_229_0_22.5.avi	242	110	34	14	43	14	2.2157 4.328 	1.6233 3.2469 
OB_OC_4,10_10_1_114_0_135.avi	267	110	42	14	42	14	2.7399 3.8036 	1.8428 5.1385 
OC_4,1_10_1_229_45_135.avi	188	110	41	31	41	13	2.6257 4.3207 	1.7445 3.4081 
OB_OC_2,1_10_1_229_45_270.avi	126	110	41	0	1	3	4.6292 	1.9094 
OC_4,1_1_1_119_0_180.avi	54	110	12	31	21	13	2.6114 3.9155 	1.9008 3.4986 
OC_4,1_10_1_1_0_202.5.avi	211	110	123	1	312	1	1.3872 2.219 3.54 	2.9865 
OB_4,1_10_119_229_45_45.avi	95	110	3412	0	1243	0	1.4981 2.2332 3.2171 4.2174 	0
OB_OC_2,1_10_1_1_45_180.avi	17	110	2	4	2	4	1.9061 	2.7373 
OB_2,1_10_1_344_45_315.avi	272	110	12	0	21	0	1.4685 2.1801 	0
OB_OC_2,10_10_114_344_0_135.avi	88	110	1	4	1	4	2.7393 	1.6826 
OB_OC_4,1_7_1_1_45_90.avi	160	110	34	32	43	34	1.969 5.9529 	3.4251 5.1695 
OB_OC_4,1_10_1_114_45_270.avi	248	110	412	1	432	0	1.8347 2.9303 9.5382 	0
NO_4,1_10_119_344_45_90.avi	130	110	31	41	31	14	2.1105 3.598 	1.157 2.679 
OC_2,10_10_1_344_0_0.avi	266	110	0	41	0	14	0	1.5456 2.4407 
OC_2,1_10_1_114_45_315.avi	143	110	2	1	2	1	2.0169 	1.5592 
OC_2,10_10_114_229_0_90.avi	247	110	1	4	14	0	1.9235 4.0274 	0
OC_2,1_1_1_119_0_270.avi	254	110	4	1	4	1	2.0532 	1.3655 
OB_2,1_10_119_114_45_180.avi	160	110	31	0	31	0	1.6571 2.7991 	0
NO_2,1_10_1_114_45_90.avi	8	110	4	1	4	1	2.4673 	1.3458 
OB_OC_2,10_10_1_114_0_315.avi	120	110	4	4	4	4	2.1877 	3.389 
OC_2,10_10_229_344_0_270.avi	153	110	3	1	3	1	2.6607 	1.7092 
OB_4,1_10_1_229_45_0.avi	98	110	34	42	43	42	1.5724 4.6382 	2.3742 4.0054 
OB_OC_2,1_10_1_344_45_225.avi	71	110	34	0	34	0	1.6312 3.1995 	0
OB_2,1_10_1_114_45_180.avi	296	110	1	1	1	1	2.5841 	1.4486 
NO_4,1_10_1_1_0_157.5.avi	155	110	234	2	2341	0	1.6489 2.5769 3.8091 5.1131 	0
OC_4,1_10_119_344_45_90.avi	320	110	31	41	31	14	2.1916 3.5918 	1.3458 2.8333 
OB_2,1_7_1_1_45_270.avi	141	110	34	0	34	0	1.8935 3.0778 	0
OB_4,1_10_1_1_45_225.avi	277	110	41	14	43	41	1.8112 5.8679 	2.3642 3.971 
OC_4,10_10_1_229_0_22.5.avi	143	110	1	134	1	314	3.5571 	1.685 2.828 4.524 
OB_OC_4,1_1_1_119_0_45.avi	292	110	41	34	42	21	1.7859 5.8272 	3.0894 8.9289 
NO_4,10_10_114_229_0_90.avi	272	110	1	432	1	423	1.4837 	2.5628 3.6444 4.755 
NO_2,10_10_1_344_0_0.avi	136	110	0	41	0	14	0	1.5114 2.4224 
NO_4,1_10_1_229_45_0.avi	78	110	12	31	21	13	2.343 3.3049 	1.6548 4.04 
NO_2,10_10_114_344_0_270.avi	285	110	1	4	1	4	3.0903 	1.8979 
NO_2,1_10_119_1_45_315.avi	342	110	3	1	1	1	2.9739 	1.8694 
NO_2,10_10_114_229_0_225.avi	118	110	0	43	0	43	0	1.4347 2.4201 
OC_4,1_10_1_114_45_0.avi	242	110	412	1	423	1	1.8429 3.6611 4.6774 	2.6922 
NO_2,10_10_1_114_0_225.avi	158	110	1	1	1	1	2.2287 	1.3745 

