
videoName	rotAngle	videoLength	firstTargets	secondTargets	clickedItemsfromFirstVid	clickedItemsfromSecondVid	respnseTimeFirstVid	respnseTimeSecondVid
OB_2,1_10_119_114_45_270.avi	175	110	32	0	21	0	2.9764 4.6016 	0
OC_4,10_10_229_344_0_315.avi	142	110	43	41	43	14	2.2012 6.0566 	3.3143 4.6248 
NO_4,1_10_1_229_0_22.5.avi	242	110	34	14	43	14	2.0342 5.4821 	2.7319 4.2433 
OB_OC_4,10_10_1_114_0_135.avi	267	110	42	14	42	41	4.4822 5.4825 	1.6816 3.0983 
OC_4,1_10_1_229_45_135.avi	188	110	41	31	34	13	1.9267 4.1802 	3.0133 5.1725 
OB_OC_2,1_10_1_229_45_270.avi	126	110	41	0	1	3	4.3342 	1.965 
OC_4,1_1_1_119_0_180.avi	54	110	12	31	31	31	1.8634 2.9506 	4.087 5.5512 
OC_4,1_10_1_1_0_202.5.avi	211	110	123	1	213	1	2.1182 4.4455 5.4224 	3.3016 
OB_4,1_10_119_229_45_45.avi	95	110	3412	0	3241	0	1.9918 3.1448 4.3042 5.3923 	0
OB_OC_2,1_10_1_1_45_180.avi	17	110	2	4	2	4	2.5617 	1.5055 
OB_2,1_10_1_344_45_315.avi	272	110	12	0	21	0	1.9082 3.0661 	0
OB_OC_2,10_10_114_344_0_135.avi	88	110	1	4	1	4	3.424 	1.8701 
OB_OC_4,1_7_1_1_45_90.avi	160	110	34	32	14	24	2.3747 3.7291 	5.3118 11.7672 
OB_OC_4,1_10_1_114_45_270.avi	248	110	412	1	243	1	2.3378 3.5615 6.2434 	4.9553 
NO_4,1_10_119_344_45_90.avi	130	110	31	41	31	14	2.7113 4.6945 	1.6067 3.6623 
OC_2,10_10_1_344_0_0.avi	266	110	0	41	0	14	0	1.4843 2.7948 
OC_2,1_10_1_114_45_315.avi	143	110	2	1	2	1	1.9148 	2.605 
OC_2,10_10_114_229_0_90.avi	247	110	1	4	1	4	1.5897 	2.4125 
OC_2,1_1_1_119_0_270.avi	254	110	4	1	2	1	1.931 	3.1069 
OB_2,1_10_119_114_45_180.avi	160	110	31	0	31	0	1.9027 3.1978 	0
NO_2,1_10_1_114_45_90.avi	8	110	4	1	4	1	2.9179 	1.941 
OB_OC_2,10_10_1_114_0_315.avi	120	110	4	4	0	42	0	2.2611 3.6998 
OC_2,10_10_229_344_0_270.avi	153	110	3	1	3	1	3.4317 	1.849 
OB_4,1_10_1_229_45_0.avi	98	110	34	42	41	24	4.3002 6.0041 	1.8916 3.22 
OB_OC_2,1_10_1_344_45_225.avi	71	110	34	0	41	0	2.7309 13.6264 	0
OB_2,1_10_1_114_45_180.avi	296	110	1	1	1	1	2.1231 	3.3473 
NO_4,1_10_1_1_0_157.5.avi	155	110	234	2	431	2	3.2754 4.6123 5.7224 	2.3399 
OC_4,1_10_119_344_45_90.avi	320	110	31	41	13	14	2.0883 4.8938 	3.6616 5.6633 
OB_2,1_7_1_1_45_270.avi	141	110	34	0	43	0	1.6755 2.8434 	0
OB_4,1_10_1_1_45_225.avi	277	110	41	14	14	14	2.7038 5.0413 	1.4576 3.9594 
OC_4,10_10_1_229_0_22.5.avi	143	110	1	134	1	413	1.6256 	2.5626 3.6258 4.8181 
OB_OC_4,1_1_1_119_0_45.avi	292	110	41	34	24	43	1.9596 5.6797 	2.9983 4.4629 
NO_4,10_10_114_229_0_90.avi	272	110	1	432	1	324	2.34 	1.6179 3.4754 4.4045 
NO_2,10_10_1_344_0_0.avi	136	110	0	41	0	14	0	1.5712 2.6763 
NO_4,1_10_1_229_45_0.avi	78	110	12	31	12	31	2.2065 3.1026 	1.4879 4.2386 
NO_2,10_10_114_344_0_270.avi	285	110	1	4	1	4	2.6401 	1.6488 
NO_2,1_10_119_1_45_315.avi	342	110	3	1	3	1	2.187 	3.0263 
NO_2,10_10_114_229_0_225.avi	118	110	0	43	0	34	0	1.7176 2.8137 
OC_4,1_10_1_114_45_0.avi	242	110	412	1	324	1	2.0255 3.5146 5.9471 	4.6495 
NO_2,10_10_1_114_0_225.avi	158	110	1	1	1	1	1.7066 	2.7549 

