
videoName	rotAngle	videoLength	firstTargets	secondTargets	clickedItemsfromFirstVid	clickedItemsfromSecondVid	respnseTimeFirstVid	respnseTimeSecondVid
OB_2,1_10_119_114_45_270.avi	175	110	32	0	0	0	0	0
OC_4,10_10_229_344_0_315.avi	142	110	43	41	
videoName	rotAngle	videoLength	firstTargets	secondTargets	clickedItemsfromFirstVid	clickedItemsfromSecondVid	respnseTimeFirstVid	respnseTimeSecondVid
OB_2,1_10_119_114_45_270.avi	175	110	32	0	4	4	4.9086 	3.4286 
OC_4,10_10_229_344_0_315.avi	142	110	43	41	34	14	2.1551 5.8347 	3.6285 4.6922 
NO_4,1_10_1_229_0_22.5.avi	242	110	34	14	34	41	2.1604 5.1046 	3.3448 4.2898 
OB_OC_4,10_10_1_114_0_135.avi	267	110	42	14	42	14	3.2101 4.402 	1.9923 5.0821 
OC_4,1_10_1_229_45_135.avi	188	110	41	31	41	13	3.5752 5.6971 	2.2647 4.2794 
OB_OC_2,1_10_1_229_45_270.avi	126	110	41	0	1	3	5.1657 	2.1741 
OC_4,1_1_1_119_0_180.avi	54	110	12	31	23	13	3.5149 6.2426 	2.3057 4.6963 
OC_4,1_10_1_1_0_202.5.avi	211	110	123	1	312	1	2.1463 3.0983 4.508 	5.7866 
OB_4,1_10_119_229_45_45.avi	95	110	3412	0	421	2	2.7445 3.9138 6.2421 	5.33 
OB_OC_2,1_10_1_1_45_180.avi	17	110	2	4	2	4	3.3666 	1.9898 
OB_2,1_10_1_344_45_315.avi	272	110	12	0	12	0	2.622 4.0238 	0
OB_OC_2,10_10_114_344_0_135.avi	88	110	1	4	1	4	2.5733 	4.4987 
OB_OC_4,1_7_1_1_45_90.avi	160	110	34	32	34	23	6.2573 7.481 	2.2405 4.1993 
OB_OC_4,1_10_1_114_45_270.avi	248	110	412	1	124	1	2.3289 4.7619 6.8165 	3.5771 
NO_4,1_10_119_344_45_90.avi	130	110	31	41	13	14	2.0489 3.9683 	3.1938 4.5836 
OC_2,10_10_1_344_0_0.avi	266	110	0	41	0	14	0	2.326 3.1588 
OC_2,1_10_1_114_45_315.avi	143	110	2	1	2	1	3.0655 	1.9864 
OC_2,10_10_114_229_0_90.avi	247	110	1	4	1	4	3.81 	2.304 
OC_2,1_1_1_119_0_270.avi	254	110	4	1	4	1	3.1436 	2.1098 
OB_2,1_10_119_114_45_180.avi	160	110	31	0	13	0	2.3878 3.4898 	0
NO_2,1_10_1_114_45_90.avi	8	110	4	1	4	1	2.2076 	3.2863 
OB_OC_2,10_10_1_114_0_315.avi	120	110	4	4	4	4	2.8861 	4.1582 
OC_2,10_10_229_344_0_270.avi	153	110	3	1	3	1	2.8922 	1.9816 
OB_4,1_10_1_229_45_0.avi	98	110	34	42	34	24	2.1024 5.4859 	3.0444 4.4621 
OB_OC_2,1_10_1_344_45_225.avi	71	110	34	0	4	1	3.0861 	5.8058 
OB_2,1_10_1_114_45_180.avi	296	110	1	1	1	1	3.0703 	1.5743 
NO_4,1_10_1_1_0_157.5.avi	155	110	234	2	4213	0	2.7924 4.0944 5.1187 6.0966 	0
OC_4,1_10_119_344_45_90.avi	320	110	31	41	31	14	2.9144 4.3775 	1.8961 3.5208 
OB_2,1_7_1_1_45_270.avi	141	110	34	0	43	0	2.4373 3.5588 	0
OB_4,1_10_1_1_45_225.avi	277	110	41	14	423	4	2.0862 4.399 6.0377 	2.9414 
OC_4,10_10_1_229_0_22.5.avi	143	110	1	134	1	314	4.0086 	1.9297 2.8965 5.1215 
OB_OC_4,1_1_1_119_0_45.avi	292	110	41	34	24	13	2.3051 4.026 	5.7849 8.1292 
NO_4,10_10_114_229_0_90.avi	272	110	1	432	1	423	4.7619 	1.9628 2.9068 4.0493 
NO_2,10_10_1_344_0_0.avi	136	110	0	41	0	14	0	1.6279 2.6761 
NO_4,1_10_1_229_45_0.avi	78	110	12	31	12	31	2.7843 4.046 	1.982 5.0144 
NO_2,10_10_114_344_0_270.avi	285	110	1	4	1	4	1.8006 	2.9685 
NO_2,1_10_119_1_45_315.avi	342	110	3	1	3	1	3.635 	2.0762 
NO_2,10_10_114_229_0_225.avi	118	110	0	43	0	34	0	2.0703 3.2706 
OC_4,1_10_1_114_45_0.avi	242	110	412	1	42	14	2.4116 4.3964 	3.4588 5.5219 
NO_2,10_10_1_114_0_225.avi	158	110	1	1	1	1	2.908 	1.8822 

