
videoName	rotAngle	videoLength	firstTargets	secondTargets	clickedItemsfromFirstVid	clickedItemsfromSecondVid	respnseTimeFirstVid	respnseTimeSecondVid
NO_2,1_10_1_1_45_315.avi	278	110	12	0	21	0	3.2073 4.6467 	0
NO_2,1_10_119_344_45_90.avi	117	110	3	4	3	4	2.5848 	3.4738 
OB_4,1_10_1_344_45_315.avi	283	110	3412	0	423	1	2.5502 4.3419 7.6156 	5.7118 
OB_2,10_10_114_229_0_135.avi	170	110	14	0	14	0	3.178 4.6201 	0
NO_4,10_10_229_344_0_315.avi	13	110	43	41	34	14	2.6151 6.9429 	3.9196 5.4625 
OB_2,1_10_1_1_45_0.avi	64	110	0	14	0	14	0	2.4414 4.1224 
OC_4,1_10_119_344_0_247.5.avi	260	110	13	23	31	23	2.0627 5.4377 	3.1667 4.4942 
OB_OC_4,1_10_119_114_45_225.avi	171	110	342	1	243	1	2.2546 5.1584 7.2472 	3.3576 
OC_4,1_10_119_344_45_90.avi	55	110	31	41	13	14	2.3364 4.7933 	3.6399 5.5119 
OB_4,1_10_119_229_45_225.avi	123	110	342	4	34	24	2.7204 7.5122 	4.0484 6.065 
NO_2,10_10_1_114_0_270.avi	219	110	2	1	2	1	4.611 	3.4805 
OB_2,1_10_1_1_45_225.avi	70	110	1	4	1	4	4.6956 	2.6321 
OC_4,1_10_1_1_0_157.5.avi	266	110	234	2	432	2	2.9267 5.8698 7.3035 	3.9744 
OB_4,10_10_1_114_0_90.avi	88	110	43	14	43	41	3.2055 4.2213 	1.7907 5.4216 
OB_OC_2,1_10_119_344_45_135.avi	331	110	32	0	3	2	2.3446 	3.8641 
OB_2,1_10_119_114_45_135.avi	97	110	12	0	14	0	2.1984 3.7762 	0
OC_4,1_10_1_1_0_247.5.avi	276	110	123	1	213	1	3.3633 4.811 5.8836 	2.341 
OB_OC_2,10_10_1_114_0_180.avi	68	110	14	0	41	0	2.4089 3.7283 	0
OB_OC_4,10_10_114_229_0_0.avi	104	110	14	32	42	21	3.3243 5.8341 	4.6981 8.3863 
OC_2,1_10_1_114_45_90.avi	33	110	4	1	4	1	3.1448 	2.1141 
OC_2,10_10_114_229_0_225.avi	208	110	0	43	0	34	0	1.9868 3.2419 
NO_4,10_10_1_229_0_90.avi	247	110	12	43	21	43	3.3524 5.8255 	2.1446 4.9686 
OB_4,10_10_1_229_0_225.avi	197	110	14	21	41	12	2.3441 4.4081 	3.4247 5.192 
OC_4,10_10_1_229_0_157.5.avi	154	110	12	34	21	43	1.8211 4.4949 	2.8942 5.8309 
OB_OC_2,1_10_1_114_45_225.avi	232	110	1	1	3	1	4.48 	2.976 
NO_4,10_10_229_344_0_202.5.avi	234	110	34	14	43	14	1.8771 4.2926 	3.2534 5.9473 
OB_2,10_10_1_114_0_45.avi	245	110	1	1	1	1	2.9336 	1.9093 
OB_4,1_1_1_119_0_180.avi	229	110	34	42	34	42	2.547 5.738 	3.643 4.9221 
OC_4,1_10_1_344_45_135.avi	341	110	41	13	14	13	2.0616 4.3236 	3.243 5.1494 
NO_4,10_10_1_344_0_315.avi	76	110	12	41	21	14	2.2461 5.9154 	3.3243 4.4607 
OB_4,10_10_1_344_0_45.avi	256	110	142	4	42	42	4.4663 5.9399 	2.7857 6.7622 
NO_4,10_10_1_229_0_270.avi	86	110	12	42	21	42	1.872 4.1196 	3.215 5.0222 
OB_2,10_10_229_344_0_0.avi	43	110	43	0	3	4	2.6275 	4.1061 
NO_4,1_10_1_229_45_135.avi	219	110	41	31	14	13	2.0297 4.4692 	3.3078 5.4925 
NO_4,1_10_1_1_0_247.5.avi	163	110	123	1	312	1	2.1399 3.052 4.3157 	5.2437 
OB_OC_4,10_10_114_229_0_45.avi	166	110	14	21	41	21	2.1706 5.2439 	3.147 6.1954 
NO_2,10_10_1_229_0_180.avi	239	110	2	4	2	4	1.9682 	3.2742 
OC_2,10_10_114_344_0_315.avi	278	110	1	4	1	4	2.1538 	3.217 
OB_OC_2,7_10_1_344_45_90.avi	127	110	4	4	4	4	1.8374 	3.4855 
OC_2,10_10_1_344_0_315.avi	239	110	1	4	1	4	2.6905 	4.6747 

