
videoName	rotAngle	videoLength	firstTargets	secondTargets	clickedItemsfromFirstVid	clickedItemsfromSecondVid	respnseTimeFirstVid	respnseTimeSecondVid
NO_2,1_10_1_1_45_315.avi	278	110	12	0	21	0	3.0522 3.9156 	0
NO_2,1_10_119_344_45_90.avi	117	110	3	4	1	4	2.0999 	1.2921 
OB_4,1_10_1_344_45_315.avi	283	110	3412	0	2413	0	2.3122 3.4421 4.5133 5.2583 	0
OB_2,10_10_114_229_0_135.avi	170	110	14	0	14	0	1.6335 2.4184 	0
NO_4,10_10_229_344_0_315.avi	13	110	43	41	43	14	2.8357 3.9727 	0.8521 1.8523 
OB_2,1_10_1_1_45_0.avi	64	110	0	14	3	4	1.4093 	2.1364 
OC_4,1_10_119_344_0_247.5.avi	260	110	13	23	13	32	1.2059 3.6123 	1.892 2.8365 
OB_OC_4,1_10_119_114_45_225.avi	171	110	342	1	243	3	1.1966 2.0294 3.7237 	3.0048 
OC_4,1_10_119_344_45_90.avi	55	110	31	41	31	14	1.5583 3.0623 	1.0078 2.2076 
OB_4,1_10_119_229_45_225.avi	123	110	342	4	3	432	2.7852 	1.3699 3.5641 10.7708 
NO_2,10_10_1_114_0_270.avi	219	110	2	1	2	1	1.1252 	1.904 
OB_2,1_10_1_1_45_225.avi	70	110	1	4	1	4	2.0004 	0.98407 
OC_4,1_10_1_1_0_157.5.avi	266	110	234	2	423	2	2.0282 3.3696 4.362 	1.4597 
OB_4,10_10_1_114_0_90.avi	88	110	43	14	43	41	1.2208 3.3092 	2.3328 4.1879 
OB_OC_2,1_10_119_344_45_135.avi	331	110	32	0	34	0	2.3579 4.6538 	0
OB_2,1_10_119_114_45_135.avi	97	110	12	0	34	0	1.4147 2.8049 	0
OC_4,1_10_1_1_0_247.5.avi	276	110	123	1	213	1	1.7518 2.6873 3.6008 	0.99278 
OB_OC_2,10_10_1_114_0_180.avi	68	110	14	0	41	0	1.0351 2.0364 	0
OB_OC_4,10_10_114_229_0_0.avi	104	110	14	32	13	23	1.2053 2.3951 	3.0054 4.0995 
OC_2,1_10_1_114_45_90.avi	33	110	4	1	4	1	1.0142 	1.7004 
OC_2,10_10_114_229_0_225.avi	208	110	0	43	0	43	0	1.2716 2.1901 
NO_4,10_10_1_229_0_90.avi	247	110	12	43	12	34	1.0652 3.9784 	2.0495 3.2104 
OB_4,10_10_1_229_0_225.avi	197	110	14	21	411	12	1.8136 2.8708 3.2558 	1.0228 4.4147 
OC_4,10_10_1_229_0_157.5.avi	154	110	12	34	12	34	1.1812 3.1419 	1.8135 3.7902 
OB_OC_2,1_10_1_114_45_225.avi	232	110	1	1	3	1	1.5578 	0.97537 
NO_4,10_10_229_344_0_202.5.avi	234	110	34	14	43	14	1.2385 2.9748 	2.2318 3.6769 
OB_2,10_10_1_114_0_45.avi	245	110	1	1	1	1	0.8286 	1.3672 
OB_4,1_1_1_119_0_180.avi	229	110	34	42	34	24	1.0135 2.9563 	2.1245 3.8848 
OC_4,1_10_1_344_45_135.avi	341	110	41	13	41	31	1.8767 3.8614 	1.1008 2.7883 
NO_4,10_10_1_344_0_315.avi	76	110	12	41	12	41	1.2798 4.8133 	2.3678 3.3263 
OB_4,10_10_1_344_0_45.avi	256	110	142	4	241	4	1.3643 2.2519 3.2213 	4.0371 
NO_4,10_10_1_229_0_270.avi	86	110	12	42	12	42	2.1289 4.6572 	1.2174 3.2719 
OB_2,10_10_229_344_0_0.avi	43	110	43	0	34	0	2.9921 4.6247 	0
NO_4,1_10_1_229_45_135.avi	219	110	41	31	14	13	1.3428 3.3743 	2.398 4.2081 
NO_4,1_10_1_1_0_247.5.avi	163	110	123	1	213	1	1.8418 2.7634 3.4675 	1.041 
OB_OC_4,10_10_114_229_0_45.avi	166	110	14	21	41	21	1.0949 3.9123 	2.151 3.1683 
NO_2,10_10_1_229_0_180.avi	239	110	2	4	2	4	1.3069 	2.2254 
OC_2,10_10_114_344_0_315.avi	278	110	1	4	1	4	1.2087 	1.7393 
OB_OC_2,7_10_1_344_45_90.avi	127	110	4	4	4	4	1.3937 	2.2036 
OC_2,10_10_1_344_0_315.avi	239	110	1	4	1	4	1.149 	2.1244 

