
videoName	rotAngle	videoLength	firstTargets	secondTargets	clickedItemsfromFirstVid	clickedItemsfromSecondVid	respnseTimeFirstVid	respnseTimeSecondVid
NO_2,10_10_1_114_0_90.avi	150	110	12	0	21	0	1.4365 2.4497 	0
OC_2,1_1_1_119_0_135.avi	304	110	2	1	2	1	1.2147 	1.6575 
OC_2,1_10_119_1_45_180.avi	300	110	1	1	1	1	1.7705 	0.90577 
OB_OC_2,1_10_1_114_45_0.avi	93	110	3	4	1	4	4.2073 	1.328 
OB_OC_4,1_10_119_1_45_315.avi	221	110	412	4	41	14	2.2673 7.5642 	1.2111 3.4123 
OB_OC_2,1_10_1_114_45_45.avi	210	110	2	1	2	1	3.9487 	1.0375 
NO_2,10_10_114_229_0_90.avi	195	110	1	4	1	4	2.1049 	1.0646 
OC_2,10_10_229_344_0_135.avi	314	110	4	1	4	1	1.3398 	2.0589 
OB_4,1_10_1_229_45_180.avi	96	110	312	4	213	4	1.4833 3.5697 4.3536 	2.714 
OB_OC_4,1_10_1_229_45_90.avi	115	110	3412	0	2134	0	1.1038 2.1191 3.1115 6.647 	0
OB_2,10_10_1_114_0_225.avi	43	110	4	4	4	4	1.9459 	1.1221 
OB_2,1_10_1_1_45_90.avi	339	110	1	1	1	1	1.3549 	2.0041 
OB_OC_2,10_10_1_114_0_0.avi	233	110	4	1	41	0	2.3038 5.5511 	0
OB_OC_4,10_10_1_229_0_0.avi	173	110	142	3	12	43	2.4468 3.5498 	1.5671 4.3437 
OC_2,1_10_1_114_45_180.avi	231	110	42	0	42	0	1.2028 2.0515 	0
NO_2,10_10_229_344_0_315.avi	197	110	4	4	4	4	1.268 	2.2843 
NO_4,1_1_1_119_0_180.avi	234	110	12	31	12	31	1.137 2.5532 	1.6786 3.4648 
OB_OC_4,10_10_114_229_0_315.avi	196	110	14	43	41	34	3.0207 5.0184 	2.0852 4.2764 
NO_4,1_10_1_1_0_202.5.avi	260	110	123	1	312	1	1.4235 2.0807 3.2715 	2.721 
OC_2,10_10_1_114_0_315.avi	189	110	1	1	1	1	1.0021 	1.8748 
NO_2,1_10_1_1_45_0.avi	358	110	12	0	12	0	1.125 1.8122 	0
OB_4,10_10_229_344_0_0.avi	79	110	43	41	3142	0	1.8813 2.8517 3.8111 5.6103 	0
OB_4,1_10_119_229_45_315.avi	39	110	3412	0	1243	0	0.87954 1.6954 2.5361 3.5115 	0
OB_2,7_10_1_114_45_90.avi	40	110	4	1	4	1	0.894 	1.7178 
OB_4,1_10_1_114_45_180.avi	23	110	31	14	13	31	2.3009 2.9961 	1.7235 3.9386 
OB_OC_4,1_10_1_1_45_180.avi	146	110	12	42	2	32	1.3727 	2.399 5.1267 
OB_OC_4,1_10_119_229_45_90.avi	162	110	412	4	143	4	3.275 4.8358 6.0765 	1.3491 
OB_2,10_10_229_344_0_90.avi	132	110	4	4	0	14	0	0.90951 1.5747 
OB_OC_2,1_10_119_1_45_315.avi	275	110	1	4	1	4	1.8068 	1.0379 
NO_2,1_1_1_119_0_180.avi	227	110	1	3	1	4	1.5735 	3.9232 
OB_2,10_10_114_344_0_0.avi	278	110	4	1	4	1	2.6204 	4.0197 
NO_4,1_10_1_229_0_112.5.avi	336	110	234	3	421	3	1.7745 2.7878 3.6614 	0.97162 
OB_4,1_10_1_344_45_180.avi	351	110	312	4	213	4	1.1609 1.9997 2.8813 	3.5675 
OB_4,10_10_1_114_0_270.avi	70	110	143	4	143	4	1.1547 2.923 3.5862 	2.0014 
OB_OC_2,1_10_1_1_45_135.avi	50	110	1	1	3	1	0.95442 	1.6915 
OB_4,10_10_114_229_0_270.avi	251	110	143	4	341	4	1.235 1.8264 2.7141 	3.4601 
OB_OC_2,1_10_1_229_45_135.avi	34	110	32	0	23	0	1.9475 6.8205 	0
NO_4,10_10_1_229_0_157.5.avi	190	110	12	34	21	43	1.1902 3.495 	1.9102 2.8617 
NO_2,1_1_1_119_0_270.avi	191	110	4	1	4	1	1.5773 	0.85526 
NO_2,1_10_1_229_45_135.avi	311	110	41	0	34	0	1.2205 2.6288 	0

