
videoName	rotAngle	videoLength	firstTargets	secondTargets	clickedItemsfromFirstVid	clickedItemsfromSecondVid	respnseTimeFirstVid	respnseTimeSecondVid
OB_2,1_10_119_1_45_0.avi	301	110	1	1	3	1	1.783 	1.0868 
OB_OC_4,7_10_1_344_45_135.avi	277	110	3241	0	43	23	1.2225 1.9506 	2.735 3.3742 
OB_2,1_10_119_229_45_270.avi	61	110	41	0	21	0	1.0529 2.0602 	0
OB_OC_4,1_10_1_344_45_270.avi	311	110	412	4	42	14	0.99984 3.4004 	1.7673 2.7113 
OC_4,1_10_1_229_45_0.avi	357	110	12	31	12	31	1.5894 2.309 	1.1267 3.0619 
OB_2,7_10_1_344_45_0.avi	186	110	4	4	4	4	0.63532 	1.5474 
OC_4,10_10_1_229_0_292.5.avi	319	110	12	24	12	42	2.1776 4.4006 	1.2425 3.3679 
OC_2,1_10_119_344_45_135.avi	212	110	1	1	1	1	1.7877 	0.82779 
OB_OC_4,1_10_119_114_45_90.avi	56	110	3412	0	4441	21	1.1012 1.9344 2.3259 4.1346 	2.9338 6.3881 
OB_OC_2,1_10_119_114_45_225.avi	72	110	3	1	0	12	0	1.2655 3.3549 
NO_2,1_10_119_1_45_180.avi	147	110	1	1	1	1	2.4573 	1.2884 
OC_4,1_10_1_114_45_0.avi	270	110	412	1	2143	0	0.99816 2.2628 3.4227 4.6878 	0
OB_4,1_10_119_1_45_0.avi	298	110	341	1	34	12	1.2708 6.4639 	2.0886 3.0635 
OC_4,1_10_1_229_0_22.5.avi	285	110	34	14	4	143	1.4707 	1.8457 2.8635 10.6622 
OC_2,1_10_1_229_45_180.avi	115	110	4	3	4	3	1.574 	0.92518 
OC_4,1_10_1_229_0_112.5.avi	193	110	234	3	432	3	0.99221 2.193 4.9193 	3.2338 
OB_2,7_10_1_229_45_315.avi	33	110	41	0	1	2	1.2806 	2.0625 
OC_2,1_10_119_1_45_315.avi	41	110	3	1	3	1	0.92215 	1.8043 
OB_4,10_10_1_114_0_45.avi	50	110	142	1	214	1	1.2192 2.2774 3.8672 	2.9013 
OB_4,10_10_229_344_0_90.avi	245	110	42	41	24	41	1.1916 3.0975 	2.368 3.8246 
NO_2,10_10_1_344_0_270.avi	179	110	1	4	1	4	1.0636 	1.9532 
NO_4,10_10_229_344_0_292.5.avi	69	110	34	14	34	41	2.7225 3.5459 	1.3537 1.9785 
OB_OC_2,1_10_1_229_45_225.avi	179	110	12	0	23	0	1.4301 2.615 	0
OC_2,1_10_1_1_45_315.avi	54	110	12	0	12	0	1.283 2.0983 	0
NO_4,1_10_1_114_45_0.avi	20	110	412	1	124	1	1.098 2.0574 3.532 	2.6898 
OC_2,1_10_1_1_45_180.avi	307	110	34	0	41	0	0.95526 1.8997 	0
NO_2,1_10_1_1_45_270.avi	202	110	31	0	31	0	0.91171 1.6647 	0
OB_OC_4,10_10_1_344_0_225.avi	335	110	142	1	124	1	1.2675 2.6189 3.4591 	1.9796 
OB_OC_4,1_10_1_114_45_315.avi	251	110	341	4	431	4	0.96445 2.8051 3.5501 	1.8601 
OB_OC_2,1_10_1_344_45_135.avi	210	110	32	0	32	0	1.3333 2.6049 	0
OB_OC_4,10_10_1_229_0_180.avi	294	110	143	3	431	3	1.3462 2.0424 3.4571 	4.1149 
OB_OC_2,7_10_1_1_45_135.avi	317	110	4	1	4	1	0.97176 	1.811 
OB_OC_2,10_10_114_229_0_180.avi	357	110	14	0	14	0	1.0893 2.3061 	0
OC_4,10_10_229_344_0_315.avi	1	110	43	41	43	41	1.347 4.74 	2.9063 3.8763 
OC_4,1_1_1_119_0_180.avi	312	110	12	31	32	13	2.1434 3.9995 	1.1595 3.0624 
NO_4,10_10_1_344_0_292.5.avi	221	110	12	14	21	14	1.1915 2.6242 	1.7994 3.5692 
OC_2,1_10_119_229_45_45.avi	357	110	0	43	0	34	0	1.0746 2.0011 
OB_OC_4,1_10_1_229_45_135.avi	190	110	32	42	1	421	5.1925 	1.0963 4.0634 6.295 
OB_4,1_10_1_344_45_90.avi	173	110	341	4	413	4	1.1559 3.5381 4.2602 	2.4036 
NO_4,10_10_1_344_0_270.avi	289	110	12	41	12	14	1.0683 2.8911 	1.8996 3.8052 

