
videoName	rotAngle	videoLength	firstTargets	secondTargets	clickedItemsfromFirstVid	clickedItemsfromSecondVid	respnseTimeFirstVid	respnseTimeSecondVid
NO_2,1_10_1_1_45_315.avi	278	110	12	0	32	0	6.3662 7.7816 	0
NO_2,1_10_119_344_45_90.avi	117	110	3	4	3	4	2.7729 	2.0435 
OB_4,1_10_1_344_45_315.avi	283	110	3412	0	4231	0	1.7214 3.0239 4.6241 7.3194 	0
OB_2,10_10_114_229_0_135.avi	170	110	14	0	14	0	1.7426 2.8881 	0
NO_4,10_10_229_344_0_315.avi	13	110	43	41	34	41	4.3704 5.7556 	1.6591 2.9462 
OB_2,1_10_1_1_45_0.avi	64	110	0	14	3	4	2.02 	3.3798 
OC_4,1_10_119_344_0_247.5.avi	260	110	13	23	13	32	2.935 6.3828 	3.7438 5.5759 
OB_OC_4,1_10_119_114_45_225.avi	171	110	342	1	24	12	3.2353 4.6261 	1.9557 6.1803 
OC_4,1_10_119_344_45_90.avi	55	110	31	41	13	14	3.3245 4.7147 	1.8578 5.362 
OB_4,1_10_119_229_45_225.avi	123	110	342	4	2443	4	1.7392 3.1639 3.5887 6.4921 	4.3792 
NO_2,10_10_1_114_0_270.avi	219	110	2	1	2	1	1.5933 	3.0912 
OB_2,1_10_1_1_45_225.avi	70	110	1	4	1	4	3.2727 	1.744 
OC_4,1_10_1_1_0_157.5.avi	266	110	234	2	432	2	2.7704 4.0984 5.7146 	2.1406 
OB_4,10_10_1_114_0_90.avi	88	110	43	14	43	41	3.9943 4.8441 	2.2922 6.2124 
OB_OC_2,1_10_119_344_45_135.avi	331	110	32	0	431	2	3.1865 4.6805 5.7532 	2.2644 
OB_2,1_10_119_114_45_135.avi	97	110	12	0	2	1	2.0176 	3.5525 
OC_4,1_10_1_1_0_247.5.avi	276	110	123	1	213	1	2.3773 3.6011 5.6641 	1.5445 
OB_OC_2,10_10_1_114_0_180.avi	68	110	14	0	14	0	3.6909 4.7805 	0
OB_OC_4,10_10_114_229_0_0.avi	104	110	14	32	134	3	2.255 5.0625 5.8719 	3.4224 
OC_2,1_10_1_114_45_90.avi	33	110	4	1	4	1	2.809 	1.5753 
OC_2,10_10_114_229_0_225.avi	208	110	0	43	0	34	0	1.6906 3.3058 
NO_4,10_10_1_229_0_90.avi	247	110	12	43	12	34	1.7245 4.9404 	2.4994 3.7396 
OB_4,10_10_1_229_0_225.avi	197	110	14	21	41	12	2.1301 4.8424 	3.3614 5.8912 
OC_4,10_10_1_229_0_157.5.avi	154	110	12	34	21	43	1.567 4.3506 	2.5753 5.6003 
OB_OC_2,1_10_1_114_45_225.avi	232	110	1	1	1	1	2.8466 	1.9639 
NO_4,10_10_229_344_0_202.5.avi	234	110	34	14	43	14	2.03 3.8716 	2.8872 5.1671 
OB_2,10_10_1_114_0_45.avi	245	110	1	1	1	1	2.3305 	3.5068 
OB_4,1_1_1_119_0_180.avi	229	110	34	42	43	42	2.8847 4.1239 	1.1314 1.7478 
OC_4,1_10_1_344_45_135.avi	341	110	41	13	43	31	2.9714 7.2754 	3.875 5.3081 
NO_4,10_10_1_344_0_315.avi	76	110	12	41	21	14	1.3379 5.055 	2.3457 3.6727 
OB_4,10_10_1_344_0_45.avi	256	110	142	4	142	4	2.3914 3.3105 4.8883 	1.6963 
NO_4,10_10_1_229_0_270.avi	86	110	12	42	21	24	1.9578 3.3651 	4.2044 5.4306 
OB_2,10_10_229_344_0_0.avi	43	110	43	0	34	0	2.6978 4.1076 	0
NO_4,1_10_1_229_45_135.avi	219	110	41	31	41	13	2.6458 5.2708 	1.6704 3.5409 
NO_4,1_10_1_1_0_247.5.avi	163	110	123	1	312	1	1.4188 2.5533 3.587 	5.0352 
OB_OC_4,10_10_114_229_0_45.avi	166	110	14	21	41	21	3.2084 5.3746 	1.7667 4.2401 
NO_2,10_10_1_229_0_180.avi	239	110	2	4	2	4	1.663 	2.9989 
OC_2,10_10_114_344_0_315.avi	278	110	1	4	1	4	2.0754 	3.2567 
OB_OC_2,7_10_1_344_45_90.avi	127	110	4	4	4	4	1.3288 	2.7361 
OC_2,10_10_1_344_0_315.avi	239	110	1	4	1	4	1.3383 	2.4514 

