
videoName	rotAngle	videoLength	firstTargets	secondTargets	clickedItemsfromFirstVid	clickedItemsfromSecondVid	respnseTimeFirstVid	respnseTimeSecondVid
NO_2,10_10_1_114_0_90.avi	150	110	12	0	21	0	2.9636 4.3653 	0
OC_2,1_1_1_119_0_135.avi	304	110	2	1	2	1	2.9165 	1.8947 
OC_2,1_10_119_1_45_180.avi	300	110	1	1	3	1	1.3944 	2.1918 
OB_OC_2,1_10_1_114_45_0.avi	93	110	3	4	2	4	2.1661 	3.2532 
OB_OC_4,1_10_119_1_45_315.avi	221	110	412	4	324	4	2.2335 3.73 4.9217 	1.0646 
OB_OC_2,1_10_1_114_45_45.avi	210	110	2	1	2	1	2.6635 	1.2413 
NO_2,10_10_114_229_0_90.avi	195	110	1	4	1	4	1.5809 	2.9911 
OC_2,10_10_229_344_0_135.avi	314	110	4	1	4	1	2.0867 	0.94278 
OB_4,1_10_1_229_45_180.avi	96	110	312	4	213	4	0.82121 2.5392 3.7564 	1.6675 
OB_OC_4,1_10_1_229_45_90.avi	115	110	3412	0	124	4	1.1888 2.2675 4.8191 	3.8278 
OB_2,10_10_1_114_0_225.avi	43	110	4	4	4	4	3.3307 	1.5539 
OB_2,1_10_1_1_45_90.avi	339	110	1	1	1	1	2.5872 	1.0358 
OB_OC_2,10_10_1_114_0_0.avi	233	110	4	1	41	0	1.9511 3.479 	0
OB_OC_4,10_10_1_229_0_0.avi	173	110	142	3	421	3	1.5659 2.6316 4.9185 	3.3422 
OC_2,1_10_1_114_45_180.avi	231	110	42	0	42	0	2.0221 3.918 	0
NO_2,10_10_229_344_0_315.avi	197	110	4	4	4	4	1.1706 	3.1229 
NO_4,1_1_1_119_0_180.avi	234	110	12	31	12	31	1.2353 2.669 	1.8108 4.6272 
OB_OC_4,10_10_114_229_0_315.avi	196	110	14	43	41	34	3.1315 5.9963 	1.6928 4.8035 
NO_4,1_10_1_1_0_202.5.avi	260	110	123	1	312	1	1.0728 2.2976 4.385 	3.6006 
OC_2,10_10_1_114_0_315.avi	189	110	1	1	1	1	2.7532 	1.329 
NO_2,1_10_1_1_45_0.avi	358	110	12	0	21	0	1.8498 2.9399 	0
OB_4,10_10_229_344_0_0.avi	79	110	43	41	314	1	1.9592 5.968 6.9598 	4.2241 
OB_4,1_10_119_229_45_315.avi	39	110	3412	0	1243	0	1.4223 2.2531 3.7436 4.911 	0
OB_2,7_10_1_114_45_90.avi	40	110	4	1	4	1	1.2439 	2.0298 
OB_4,1_10_1_114_45_180.avi	23	110	31	14	13	41	2.3622 3.184 	1.1045 4.0412 
OB_OC_4,1_10_1_1_45_180.avi	146	110	12	42	12	42	1.5734 2.6446 	4.3724 5.3493 
OB_OC_4,1_10_119_229_45_90.avi	162	110	412	4	13	43	1.7989 6.1992 	2.9598 4.7171 
OB_2,10_10_229_344_0_90.avi	132	110	4	4	4	4	1.6275 	2.949 
OB_OC_2,1_10_119_1_45_315.avi	275	110	1	4	3	4	1.3297 	2.4103 
NO_2,1_1_1_119_0_180.avi	227	110	1	3	1	4	1.0721 	2.2026 
OB_2,10_10_114_344_0_0.avi	278	110	4	1	4	1	1.0765 	2.4703 
NO_4,1_10_1_229_0_112.5.avi	336	110	234	3	423	3	1.6068 3.9341 5.2207 	2.2944 
OB_4,1_10_1_344_45_180.avi	351	110	312	4	213	4	1.7002 3.1623 4.4983 	5.364 
OB_4,10_10_1_114_0_270.avi	70	110	143	4	143	4	2.5547 3.946 4.7124 	1.6645 
OB_OC_2,1_10_1_1_45_135.avi	50	110	1	1	1	1	2.7457 	4.0313 
OB_4,10_10_114_229_0_270.avi	251	110	143	4	31	34	2.5891 3.4767 	1.9189 4.2202 
OB_OC_2,1_10_1_229_45_135.avi	34	110	32	0	23	0	1.2345 3.1788 	0
NO_4,10_10_1_229_0_157.5.avi	190	110	12	34	21	43	1.4355 4.946 	2.2588 3.9369 
NO_2,1_1_1_119_0_270.avi	191	110	4	1	4	1	4.4955 	2.1746 
NO_2,1_10_1_229_45_135.avi	311	110	41	0	14	0	1.7512 4.0381 	0

