
videoName	rotAngle	videoLength	firstTargets	secondTargets	clickedItemsfromFirstVid	clickedItemsfromSecondVid	respnseTimeFirstVid	respnseTimeSecondVid
OB_2,1_10_119_114_45_270.avi	175	110	32	0	4	4	3.9166 	2.3148 
OC_4,10_10_229_344_0_315.avi	142	110	43	41	34	14	1.2602 5.085 	2.284 3.8513 
NO_4,1_10_1_229_0_22.5.avi	242	110	34	14	43	41	3.1105 4.9506 	1.0554 2.0054 
OB_OC_4,10_10_1_114_0_135.avi	267	110	42	14	42	14	1.8822 2.6641 	1.1297 3.3837 
OC_4,1_10_1_229_45_135.avi	188	110	41	31	41	13	2.4776 5.1185 	1.2387 3.8235 
OB_OC_2,1_10_1_229_45_270.avi	126	110	41	0	1	3	4.2097 	2.6968 
OC_4,1_1_1_119_0_180.avi	54	110	12	31	23	13	1.8799 3.8871 	0.97531 3.2079 
OC_4,1_10_1_1_0_202.5.avi	211	110	123	1	3122	1	1.1845 1.9934 3.6714 5.0232 	6.3123 
OB_4,1_10_119_229_45_45.avi	95	110	3412	0	423	2	3.6537 5.2285 6.1989 	2.4459 
OB_OC_2,1_10_1_1_45_180.avi	17	110	2	4	2	4	2.3002 	1.253 
OB_2,1_10_1_344_45_315.avi	272	110	12	0	12	0	1.5788 3.0918 	0
OB_OC_2,10_10_114_344_0_135.avi	88	110	1	4	1	4	1.3738 	3.0678 
OB_OC_4,1_7_1_1_45_90.avi	160	110	34	32	413	2	1.7655 2.9713 6.1807 	4.4698 
OB_OC_4,1_10_1_114_45_270.avi	248	110	412	1	421	1	1.088 2.007 4.0964 	3.0712 
NO_4,1_10_119_344_45_90.avi	130	110	31	41	13	14	1.4522 4.8427 	2.6819 4.3949 
OC_2,10_10_1_344_0_0.avi	266	110	0	41	0	14	0	1.1014 2.6533 
OC_2,1_10_1_114_45_315.avi	143	110	2	1	2	1	1.4057 	0.87712 
OC_2,10_10_114_229_0_90.avi	247	110	1	4	41	0	1.207 2.9349 	0
OC_2,1_1_1_119_0_270.avi	254	110	4	1	4	1	3.0156 	2.2167 
OB_2,1_10_119_114_45_180.avi	160	110	31	0	13	0	1.5034 2.791 	0
NO_2,1_10_1_114_45_90.avi	8	110	4	1	4	1	1.5885 	2.1411 
OB_OC_2,10_10_1_114_0_315.avi	120	110	4	4	4	4	1.3534 	2.2022 
OC_2,10_10_229_344_0_270.avi	153	110	3	1	3	1	1.0991 	1.7569 
OB_4,1_10_1_229_45_0.avi	98	110	34	42	43	42	1.132 4.9583 	2.6455 3.9255 
OB_OC_2,1_10_1_344_45_225.avi	71	110	34	0	4	1	2.1678 	3.5431 
OB_2,1_10_1_114_45_180.avi	296	110	1	1	1	1	2.3466 	1.2266 
NO_4,1_10_1_1_0_157.5.avi	155	110	234	2	324	2	1.0355 2.7155 4.8683 	4.0126 
OC_4,1_10_119_344_45_90.avi	320	110	31	41	31	14	2.3518 4.4627 	1.2777 2.9114 
OB_2,1_7_1_1_45_270.avi	141	110	34	0	34	0	1.7448 3.3914 	0
OB_4,1_10_1_1_45_225.avi	277	110	41	14	431	4	3.7585 6.2543 7.15 	4.5419 
OC_4,10_10_1_229_0_22.5.avi	143	110	1	134	1	341	3.808 	1.408 3.0495 4.7439 
OB_OC_4,1_1_1_119_0_45.avi	292	110	41	34	421	3	1.4239 2.9204 4.4743 	5.7299 
NO_4,10_10_114_229_0_90.avi	272	110	1	432	1	324	0.8248 	1.6327 2.9043 4.3609 
NO_2,10_10_1_344_0_0.avi	136	110	0	41	0	14	0	0.91471 2.0741 
NO_4,1_10_1_229_45_0.avi	78	110	12	31	12	31	0.9577 3.119 	1.8458 3.8321 
NO_2,10_10_114_344_0_270.avi	285	110	1	4	1	4	1.2324 	2.0258 
NO_2,1_10_119_1_45_315.avi	342	110	3	1	3	1	1.2696 	2.5357 
NO_2,10_10_114_229_0_225.avi	118	110	0	43	0	43	0	1.2386 2.8463 
OC_4,1_10_1_114_45_0.avi	242	110	412	1	421	1	1.6097 4.3474 6.2519 	2.5552 
NO_2,10_10_1_114_0_225.avi	158	110	1	1	1	1	1.8768 	1.0126 

