
videoName	rotAngle	videoLength	firstTargets	secondTargets	clickedItemsfromFirstVid	clickedItemsfromSecondVid	respnseTimeFirstVid	respnseTimeSecondVid
OB_2,1_10_119_114_45_270.avi	175	110	32	0	0	13	0	1.0423 2.2267 
OC_4,10_10_229_344_0_315.avi	142	110	43	41	34	14	1.1061 4.9698 	2.4814 3.4554 
NO_4,1_10_1_229_0_22.5.avi	242	110	34	14	34	41	1.1735 3.7507 	2.0158 3.1194 
OB_OC_4,10_10_1_114_0_135.avi	267	110	42	14	42	14	2.4311 3.5177 	1.4308 4.8622 
OC_4,1_10_1_229_45_135.avi	188	110	41	31	14	13	1.6273 5.2133 	3.0929 4.2593 
OB_OC_2,1_10_1_229_45_270.avi	126	110	41	0	4	1	4.9611 	3.7518 
OC_4,1_1_1_119_0_180.avi	54	110	12	31	21	14	2.269 5.2859 	1.4601 7.6297 
OC_4,1_10_1_1_0_202.5.avi	211	110	123	1	312	1	1.0364 1.8677 3.4364 	2.7169 
OB_4,1_10_119_229_45_45.avi	95	110	3412	0	1243	0	1.2197 2.0993 3.17 4.5244 	0
OB_OC_2,1_10_1_1_45_180.avi	17	110	2	4	2	4	1.8504 	0.99413 
OB_2,1_10_1_344_45_315.avi	272	110	12	0	21	0	1.5565 2.7968 	0
OB_OC_2,10_10_114_344_0_135.avi	88	110	1	4	1	4	2.2828 	1.0925 
OB_OC_4,1_7_1_1_45_90.avi	160	110	34	32	34	34	3.4809 5.3504 	1.1665 8.1828 
OB_OC_4,1_10_1_114_45_270.avi	248	110	412	1	421	1	1.4843 2.71 3.7413 	4.5406 
NO_4,1_10_119_344_45_90.avi	130	110	31	41	13	14	1.279 3.3034 	2.3297 3.7616 
OC_2,10_10_1_344_0_0.avi	266	110	0	41	0	41	0	1.1063 2.1844 
OC_2,1_10_1_114_45_315.avi	143	110	2	1	2	1	1.5743 	1.0128 
OC_2,10_10_114_229_0_90.avi	247	110	1	4	1	4	2.3638 	1.1376 
OC_2,1_1_1_119_0_270.avi	254	110	4	1	4	1	1.9455 	1.0324 
OB_2,1_10_119_114_45_180.avi	160	110	31	0	31	0	1.9293 3.1286 	0
NO_2,1_10_1_114_45_90.avi	8	110	4	1	4	1	2.1321 	1.2121 
OB_OC_2,10_10_1_114_0_315.avi	120	110	4	4	4	4	1.05 	1.9037 
OC_2,10_10_229_344_0_270.avi	153	110	3	1	3	1	1.6411 	0.94691 
OB_4,1_10_1_229_45_0.avi	98	110	34	42	34	24	1.1996 3.497 	2.0872 2.7764 
OB_OC_2,1_10_1_344_45_225.avi	71	110	34	0	43	0	1.493 3.1152 	0
OB_2,1_10_1_114_45_180.avi	296	110	1	1	1	1	2.0375 	1.0776 
NO_4,1_10_1_1_0_157.5.avi	155	110	234	2	324	2	1.1196 1.9125 2.856 	3.5995 
OC_4,1_10_119_344_45_90.avi	320	110	31	41	31	14	1.7397 3.133 	0.79818 2.3171 
OB_2,1_7_1_1_45_270.avi	141	110	34	0	43	0	1.9343 4.0781 	0
OB_4,1_10_1_1_45_225.avi	277	110	41	14	41	41	1.0462 4.3574 	1.7094 3.3516 
OC_4,10_10_1_229_0_22.5.avi	143	110	1	134	1	314	2.7486 	1.0377 2.0125 3.478 
OB_OC_4,1_1_1_119_0_45.avi	292	110	41	34	423	2	0.98788 2.7577 4.0278 	1.7174 
NO_4,10_10_114_229_0_90.avi	272	110	1	432	1	432	1.802 	0.85955 2.5396 3.505 
NO_2,10_10_1_344_0_0.avi	136	110	0	41	0	14	0	1.1083 2.3879 
NO_4,1_10_1_229_45_0.avi	78	110	12	31	12	31	1.2493 2.9552 	1.747 3.5691 
NO_2,10_10_114_344_0_270.avi	285	110	1	4	1	4	1.0832 	2.0113 
NO_2,1_10_119_1_45_315.avi	342	110	3	1	3	1	1.5649 	2.3075 
NO_2,10_10_114_229_0_225.avi	118	110	0	43	0	43	0	0.98313 2.3106 
OC_4,1_10_1_114_45_0.avi	242	110	412	1	421	1	1.47 3.0603 3.925 	2.2784 
NO_2,10_10_1_114_0_225.avi	158	110	1	1	1	1	1.6051 	0.77283 

