
videoName	rotAngle	videoLength	firstTargets	secondTargets	clickedItemsfromFirstVid	clickedItemsfromSecondVid	respnseTimeFirstVid	respnseTimeSecondVid
OB_2,1_10_119_114_45_270.avi	175	110	32	0	12	0	1.2852 2.1713 	0
OC_4,10_10_229_344_0_315.avi	142	110	43	41	34	14	1.7654 3.8992 	0.82044 2.7169 
NO_4,1_10_1_229_0_22.5.avi	242	110	34	14	34	41	1.2628 4.1488 	2.0786 3.4063 
OB_OC_4,10_10_1_114_0_135.avi	267	110	42	14	42	14	2.0551 2.9278 	1.2078 3.7431 
OC_4,1_10_1_229_45_135.avi	188	110	41	31	34	31	1.488 3.1536 	2.5617 3.8956 
OB_OC_2,1_10_1_229_45_270.avi	126	110	41	0	1	3	1.3021 	2.5962 
OC_4,1_1_1_119_0_180.avi	54	110	12	31	21	13	1.8076 3.6862 	1.0297 2.5522 
OC_4,1_10_1_1_0_202.5.avi	211	110	123	1	1322	1	0.90857 1.7728 2.6459 3.4123 	4.3074 
OB_4,1_10_119_229_45_45.avi	95	110	3412	0	421	2	2.1213 2.6982 4.0586 	3.4034 
OB_OC_2,1_10_1_1_45_180.avi	17	110	2	4	2	4	3.4082 	2.4102 
OB_2,1_10_1_344_45_315.avi	272	110	12	0	21	0	1.4119 2.2602 	0
OB_OC_2,10_10_114_344_0_135.avi	88	110	1	4	1	4	1.2902 	2.2591 
OB_OC_4,1_7_1_1_45_90.avi	160	110	34	32	41	32	3.6207 5.574 	1.4545 2.4543 
OB_OC_4,1_10_1_114_45_270.avi	248	110	412	1	32	13	2.3322 3.3873 	1.3966 4.5463 
NO_4,1_10_119_344_45_90.avi	130	110	31	41	31	14	2.0548 3.6451 	1.1751 2.6542 
OC_2,10_10_1_344_0_0.avi	266	110	0	41	0	14	0	1.0008 1.9597 
OC_2,1_10_1_114_45_315.avi	143	110	2	1	2	1	1.1747 	1.8155 
OC_2,10_10_114_229_0_90.avi	247	110	1	4	1	4	1.2525 	1.9976 
OC_2,1_1_1_119_0_270.avi	254	110	4	1	4	1	1.2399 	1.9983 
OB_2,1_10_119_114_45_180.avi	160	110	31	0	13	0	1.0385 2.0847 	0
NO_2,1_10_1_114_45_90.avi	8	110	4	1	4	1	1.9177 	1.0764 
OB_OC_2,10_10_1_114_0_315.avi	120	110	4	4	0	42	0	1.3417 2.5276 
OC_2,10_10_229_344_0_270.avi	153	110	3	1	3	1	1.3672 	0.87404 
OB_4,1_10_1_229_45_0.avi	98	110	34	42	43	0	1.3369 2.6649 	0
OB_OC_2,1_10_1_344_45_225.avi	71	110	34	0	43	0	1.4279 3.0052 	0
OB_2,1_10_1_114_45_180.avi	296	110	1	1	1	1	2.3659 	1.1357 
NO_4,1_10_1_1_0_157.5.avi	155	110	234	2	423	2	0.95869 2.7504 3.7587 	1.6393 
OC_4,1_10_119_344_45_90.avi	320	110	31	41	31	14	1.8269 3.3075 	0.86845 2.2194 
OB_2,1_7_1_1_45_270.avi	141	110	34	0	43	0	1.856 3.1206 	0
OB_4,1_10_1_1_45_225.avi	277	110	41	14	41	41	1.8005 3.5104 	1.1357 2.8492 
OC_4,10_10_1_229_0_22.5.avi	143	110	1	134	1	134	1.0542 	1.8545 4.461 5.2538 
OB_OC_4,1_1_1_119_0_45.avi	292	110	41	34	241	2	1.1915 1.9594 2.9752 	4.377 
NO_4,10_10_114_229_0_90.avi	272	110	1	432	1	423	4.0221 	0.9353 2.2383 3.0382 
NO_2,10_10_1_344_0_0.avi	136	110	0	41	0	14	0	1.1026 2.2002 
NO_4,1_10_1_229_45_0.avi	78	110	12	31	21	13	2.3545 3.685 	0.84255 4.1158 
NO_2,10_10_114_344_0_270.avi	285	110	1	4	1	4	2.4263 	1.3461 
NO_2,1_10_119_1_45_315.avi	342	110	3	1	3	1	1.0248 	1.9773 
NO_2,10_10_114_229_0_225.avi	118	110	0	43	0	43	0	1.401 2.9529 
OC_4,1_10_1_114_45_0.avi	242	110	412	1	324	1	1.0297 2.1258 4.1365 	3.0234 
NO_2,10_10_1_114_0_225.avi	158	110	1	1	1	1	2.1353 	1.3344 

