
videoName	rotAngle	videoLength	firstTargets	secondTargets	clickedItemsfromFirstVid	clickedItemsfromSecondVid	respnseTimeFirstVid	respnseTimeSecondVid
OB_2,1_10_119_114_45_270.avi	175	110	32	0	4	4	2.2807 	1.3373 
OC_4,10_10_229_344_0_315.avi	142	110	43	41	34	14	1.8033 4.2927 	1.0528 2.8515 
NO_4,1_10_1_229_0_22.5.avi	242	110	34	14	43	14	1.8471 3.5362 	1.3928 2.7353 
OB_OC_4,10_10_1_114_0_135.avi	267	110	42	14	42	14	2.0662 2.6352 	1.2499 3.5712 
OC_4,1_10_1_229_45_135.avi	188	110	41	31	34	13	1.2428 3.7866 	2.2432 3.2191 
OB_OC_2,1_10_1_229_45_270.avi	126	110	41	0	14	0	1.7736 3.5983 	0
OC_4,1_1_1_119_0_180.avi	54	110	12	31	32	31	3.7684 4.7284 	2.799 5.625 
OC_4,1_10_1_1_0_202.5.avi	211	110	123	1	213	1	1.12 3.0325 3.759 	2.0805 
OB_4,1_10_119_229_45_45.avi	95	110	3412	0	321	1	1.1885 2.867 3.6988 	2.0612 
OB_OC_2,1_10_1_1_45_180.avi	17	110	2	4	2	4	1.8688 	1.0704 
OB_2,1_10_1_344_45_315.avi	272	110	12	0	12	0	1.4185 2.4577 	0
OB_OC_2,10_10_114_344_0_135.avi	88	110	1	4	1	4	1.3409 	2.2605 
OB_OC_4,1_7_1_1_45_90.avi	160	110	34	32	43	23	1.8815 7.7588 	1.0956 4.2561 
OB_OC_4,1_10_1_114_45_270.avi	248	110	412	1	124	1	1.2117 2.5715 3.6577 	1.7383 
NO_4,1_10_119_344_45_90.avi	130	110	31	41	31	14	1.4211 2.7231 	0.82814 1.843 
OC_2,10_10_1_344_0_0.avi	266	110	0	41	0	14	0	0.83432 1.5873 
OC_2,1_10_1_114_45_315.avi	143	110	2	1	2	1	1.6223 	1.0523 
OC_2,10_10_114_229_0_90.avi	247	110	1	4	1	4	1.7918 	0.93652 
OC_2,1_1_1_119_0_270.avi	254	110	4	1	4	1	0.88932 	1.562 
OB_2,1_10_119_114_45_180.avi	160	110	31	0	13	0	0.93736 1.7706 	0
NO_2,1_10_1_114_45_90.avi	8	110	4	1	4	1	1.7132 	1.0758 
OB_OC_2,10_10_1_114_0_315.avi	120	110	4	4	4	4	2.2481 	0.94402 
OC_2,10_10_229_344_0_270.avi	153	110	3	1	3	1	1.3971 	0.74031 
OB_4,1_10_1_229_45_0.avi	98	110	34	42	34	24	1.0987 3.6105 	1.7046 2.665 
OB_OC_2,1_10_1_344_45_225.avi	71	110	34	0	43	0	1.2886 2.2949 	0
OB_2,1_10_1_114_45_180.avi	296	110	1	1	1	1	1.8449 	1.0455 
NO_4,1_10_1_1_0_157.5.avi	155	110	234	2	243	2	1.2927 2.3544 3.7003 	2.8207 
OC_4,1_10_119_344_45_90.avi	320	110	31	41	13	14	1.5806 3.134 	0.86091 2.6119 
OB_2,1_7_1_1_45_270.avi	141	110	34	0	43	0	1.1766 2.4492 	0
OB_4,1_10_1_1_45_225.avi	277	110	41	14	14	14	1.1712 3.5539 	1.8913 2.9475 
OC_4,10_10_1_229_0_22.5.avi	143	110	1	134	1	314	2.6031 	0.9081 1.9334 3.1805 
OB_OC_4,1_1_1_119_0_45.avi	292	110	41	34	213	3	1.0225 1.9501 3.8286 	2.9649 
NO_4,10_10_114_229_0_90.avi	272	110	1	432	1	432	1.8976 	0.98407 2.4028 3.3448 
NO_2,10_10_1_344_0_0.avi	136	110	0	41	0	14	0	0.70801 1.7223 
NO_4,1_10_1_229_45_0.avi	78	110	12	31	12	31	1.7264 2.5342 	0.94942 3.2214 
NO_2,10_10_114_344_0_270.avi	285	110	1	4	1	4	1.7292 	1.0316 
NO_2,1_10_119_1_45_315.avi	342	110	3	1	3	1	1.0353 	1.9085 
NO_2,10_10_114_229_0_225.avi	118	110	0	43	0	34	0	1.2584 2.0348 
OC_4,1_10_1_114_45_0.avi	242	110	412	1	124	1	0.95004 1.8377 3.1282 	2.3184 
NO_2,10_10_1_114_0_225.avi	158	110	1	1	1	1	1.8339 	0.93829 

