
videoName	rotAngle	videoLength	firstTargets	secondTargets	clickedItemsfromFirstVid	clickedItemsfromSecondVid	respnseTimeFirstVid	respnseTimeSecondVid
NO_2,1_10_1_1_45_315.avi	278	110	12	0	12	0	1.3999 2.5692 	0
NO_2,1_10_119_344_45_90.avi	117	110	3	4	3	4	1.1414 	2.0764 
OB_4,1_10_1_344_45_315.avi	283	110	3412	0	1342	0	1.2325 2.1765 3.4157 4.8155 	0
OB_2,10_10_114_229_0_135.avi	170	110	14	0	41	0	1.4331 2.5048 	0
NO_4,10_10_229_344_0_315.avi	13	110	43	41	34	14	1.8494 4.2804 	0.9677 3.0492 
OB_2,1_10_1_1_45_0.avi	64	110	0	14	0	14	0	1.608 2.9988 
OC_4,1_10_119_344_0_247.5.avi	260	110	13	23	13	32	1.3535 3.6838 	2.0262 2.7782 
OB_OC_4,1_10_119_114_45_225.avi	171	110	342	1	24	12	0.99961 3.0322 	1.9047 4.6474 
OC_4,1_10_119_344_45_90.avi	55	110	31	41	13	14	2.3208 3.7605 	1.0642 4.3858 
OB_4,1_10_119_229_45_225.avi	123	110	342	4	234	4	0.9679 2.0081 4.2148 	3.3356 
NO_2,10_10_1_114_0_270.avi	219	110	2	1	2	1	2.2789 	1.3444 
OB_2,1_10_1_1_45_225.avi	70	110	1	4	1	4	1.3333 	2.8448 
OC_4,1_10_1_1_0_157.5.avi	266	110	234	2	42	21	1.3205 3.0888 	2.1772 6.2085 
OB_4,10_10_1_114_0_90.avi	88	110	43	14	34	41	3.1199 3.6649 	1.1296 2.1195 
OB_OC_2,1_10_119_344_45_135.avi	331	110	32	0	32	0	1.2819 2.3291 	0
OB_2,1_10_119_114_45_135.avi	97	110	12	0	2	1	1.2495 	2.9135 
OC_4,1_10_1_1_0_247.5.avi	276	110	123	1	312	1	1.361 2.0556 2.8325 	3.7122 
OB_OC_2,10_10_1_114_0_180.avi	68	110	14	0	41	0	1.1254 2.3147 	0
OB_OC_4,10_10_114_229_0_0.avi	104	110	14	32	41	34	1.6578 3.1628 	5.499 7.018 
OC_2,1_10_1_114_45_90.avi	33	110	4	1	4	1	1.7797 	0.95436 
OC_2,10_10_114_229_0_225.avi	208	110	0	43	0	34	0	0.93539 2.0619 
NO_4,10_10_1_229_0_90.avi	247	110	12	43	12	34	0.979 4.2832 	1.8731 3.041 
OB_4,10_10_1_229_0_225.avi	197	110	14	21	41	12	1.0385 2.7988 	1.8553 3.5593 
OC_4,10_10_1_229_0_157.5.avi	154	110	12	34	21	43	2.0379 4.3268 	1.3916 3.4711 
OB_OC_2,1_10_1_114_45_225.avi	232	110	1	1	3	1	2.0368 	1.213 
NO_4,10_10_229_344_0_202.5.avi	234	110	34	14	43	14	1.3244 3.3795 	2.3164 4.2432 
OB_2,10_10_1_114_0_45.avi	245	110	1	1	1	1	2.0584 	1.084 
OB_4,1_1_1_119_0_180.avi	229	110	34	42	34	42	1.2184 3.8364 	2.1464 2.9872 
OC_4,1_10_1_344_45_135.avi	341	110	41	13	413	1	1.259 3.1081 4.0685 	2.1406 
NO_4,10_10_1_344_0_315.avi	76	110	12	41	21	14	1.707 3.8179 	0.86706 2.8579 
OB_4,10_10_1_344_0_45.avi	256	110	142	4	241	4	1.4609 2.551 3.5429 	4.4285 
NO_4,10_10_1_229_0_270.avi	86	110	12	42	21	42	1.1859 3.1302 	2.2495 4.0438 
OB_2,10_10_229_344_0_0.avi	43	110	43	0	34	0	1.915 3.228 	0
NO_4,1_10_1_229_45_135.avi	219	110	41	31	14	13	0.98923 2.599 	1.7258 3.3829 
NO_4,1_10_1_1_0_247.5.avi	163	110	123	1	213	1	1.789 2.6527 3.3489 	1.174 
OB_OC_4,10_10_114_229_0_45.avi	166	110	14	21	41	21	1.3105 3.5575 	2.4789 4.2143 
NO_2,10_10_1_229_0_180.avi	239	110	2	4	2	4	1.0588 	1.7709 
OC_2,10_10_114_344_0_315.avi	278	110	1	4	1	4	0.85329 	1.4557 
OB_OC_2,7_10_1_344_45_90.avi	127	110	4	4	4	4	0.94459 	1.7784 
OC_2,10_10_1_344_0_315.avi	239	110	1	4	1	4	1.0066 	1.9491 

