
videoName	rotAngle	videoLength	firstTargets	secondTargets	clickedItemsfromFirstVid	clickedItemsfromSecondVid	respnseTimeFirstVid	respnseTimeSecondVid
NO_2,1_10_1_1_45_315.avi	278	110	12	0	12	0	2.2334 3.5779 	0
NO_2,1_10_119_344_45_90.avi	117	110	3	4	3	4	1.5743 	2.5796 
OB_4,1_10_1_344_45_315.avi	283	110	3412	0	3124	0	2.0498 3.2746 4.5153 5.9399 	0
OB_2,10_10_114_229_0_135.avi	170	110	14	0	14	0	2.0415 3.338 	0
NO_4,10_10_229_344_0_315.avi	13	110	43	41	43	41	1.778 5.5055 	2.7629 4.2504 
OB_2,1_10_1_1_45_0.avi	64	110	0	14	0	14	0	1.7588 3.8158 
OC_4,1_10_119_344_0_247.5.avi	260	110	13	23	13	32	1.3494 4.5823 	2.2141 3.5804 
OB_OC_4,1_10_119_114_45_225.avi	171	110	342	1	4	123	3.1461 	1.7608 5.6903 8.1362 
OC_4,1_10_119_344_45_90.avi	55	110	31	41	13	14	1.5033 4.0696 	2.8058 5.0216 
OB_4,1_10_119_229_45_225.avi	123	110	342	4	421	4	2.7383 3.9396 5.1873 	1.6342 
NO_2,10_10_1_114_0_270.avi	219	110	2	1	2	1	1.7052 	2.7145 
OB_2,1_10_1_1_45_225.avi	70	110	1	4	1	4	1.6375 	3.4941 
OC_4,1_10_1_1_0_157.5.avi	266	110	234	2	423	2	3.3164 4.8932 7.1417 	1.9874 
OB_4,10_10_1_114_0_90.avi	88	110	43	14	34	41	4.7068 5.594 	1.8275 3.0896 
OB_OC_2,1_10_119_344_45_135.avi	331	110	32	0	2	4	2.9287 	1.4167 
OB_2,1_10_119_114_45_135.avi	97	110	12	0	43	0	1.8429 2.9869 	0
OC_4,1_10_1_1_0_247.5.avi	276	110	123	1	312	1	1.6675 2.8668 4.1719 	5.1961 
OB_OC_2,10_10_1_114_0_180.avi	68	110	14	0	14	0	1.7944 3.3314 	0
OB_OC_4,10_10_114_229_0_0.avi	104	110	14	32	143	3	5.748 7.4031 10.7217 	8.5869 
OC_2,1_10_1_114_45_90.avi	33	110	4	1	4	1	1.7752 	3.0069 
OC_2,10_10_114_229_0_225.avi	208	110	0	43	0	43	0	1.7355 3.0804 
NO_4,10_10_1_229_0_90.avi	247	110	12	43	12	34	1.3707 5.3152 	2.4284 4.0675 
OB_4,10_10_1_229_0_225.avi	197	110	14	21	32	12	1.3515 3.625 	2.663 5.5354 
OC_4,10_10_1_229_0_157.5.avi	154	110	12	34	21	43	1.6932 5.166 	2.3565 3.9183 
OB_OC_2,1_10_1_114_45_225.avi	232	110	1	1	3	1	3.7722 	1.5541 
NO_4,10_10_229_344_0_202.5.avi	234	110	34	14	43	14	1.7776 3.9673 	3.1116 5.2578 
OB_2,10_10_1_114_0_45.avi	245	110	1	1	1	1	1.7654 	2.8056 
OB_4,1_1_1_119_0_180.avi	229	110	34	42	34	42	1.9479 6.3541 	3.0674 4.8422 
OC_4,1_10_1_344_45_135.avi	341	110	41	13	41	31	3.2008 5.4493 	1.9442 4.1199 
NO_4,10_10_1_344_0_315.avi	76	110	12	41	21	14	1.1593 4.8804 	2.2089 3.3449 
OB_4,10_10_1_344_0_45.avi	256	110	142	4	23	41	5.5586 7.5194 	1.6136 3.6941 
NO_4,10_10_1_229_0_270.avi	86	110	12	42	21	42	1.6095 3.9537 	2.7769 5.0877 
OB_2,10_10_229_344_0_0.avi	43	110	43	0	34	0	3.1854 4.9931 	0
NO_4,1_10_1_229_45_135.avi	219	110	41	31	4	13	2.7357 	1.2332 3.753 
NO_4,1_10_1_1_0_247.5.avi	163	110	123	1	312	1	1.062 2.2229 3.1923 	4.246 
OB_OC_4,10_10_114_229_0_45.avi	166	110	14	21	1	214	2.5801 	1.3888 3.4543 4.7723 
NO_2,10_10_1_229_0_180.avi	239	110	2	4	2	4	1.206 	2.3584 
OC_2,10_10_114_344_0_315.avi	278	110	1	4	1	4	1.2007 	2.3382 
OB_OC_2,7_10_1_344_45_90.avi	127	110	4	4	4	4	0.86678 	2.0576 
OC_2,10_10_1_344_0_315.avi	239	110	1	4	1	4	1.383 	2.5284 

