
videoName	rotAngle	videoLength	firstTargets	secondTargets	clickedItemsfromFirstVid	clickedItemsfromSecondVid	respnseTimeFirstVid	respnseTimeSecondVid
OB_2,1_10_119_114_45_270.avi	175	110	32	0	34	0	1.7933 2.8431 	0
OC_4,10_10_229_344_0_315.avi	142	110	43	41	34	14	1.077 4.2849 	2.035 3.1814 
NO_4,1_10_1_229_0_22.5.avi	242	110	34	14	43	14	1.89 4.1245 	1.1061 3.2523 
OB_OC_4,10_10_1_114_0_135.avi	267	110	42	14	42	14	2.5889 3.6834 	1.5172 4.7566 
OC_4,1_10_1_229_45_135.avi	188	110	41	31	34	13	1.2506 3.4408 	2.2734 4.1843 
OB_OC_2,1_10_1_229_45_270.avi	126	110	41	0	4	0	8.2179 	0
OC_4,1_1_1_119_0_180.avi	54	110	12	31	13	13	3.3778 4.4005 	1.3766 2.6248 
OC_4,1_10_1_1_0_202.5.avi	211	110	123	1	3124	0	2.539 4.258 5.3291 7.5451 	0
OB_4,1_10_119_229_45_45.avi	95	110	3412	0	1243	0	1.0715 2.1576 3.1594 4.3178 	0
OB_OC_2,1_10_1_1_45_180.avi	17	110	2	4	2	4	2.1099 	1.2292 
OB_2,1_10_1_344_45_315.avi	272	110	12	0	21	0	1.6484 2.3844 	0
OB_OC_2,10_10_114_344_0_135.avi	88	110	1	4	1	4	1.6458 	3.1399 
OB_OC_4,1_7_1_1_45_90.avi	160	110	34	32	43	23	2.7785 6.17 	1.499 4.6501 
OB_OC_4,1_10_1_114_45_270.avi	248	110	412	1	241	0	8.3919 9.4017 10.777 	0
NO_4,1_10_119_344_45_90.avi	130	110	31	41	31	41	2.3375 4.0973 	1.5226 3.1134 
OC_2,10_10_1_344_0_0.avi	266	110	0	41	0	14	0	1.1208 2.5217 
OC_2,1_10_1_114_45_315.avi	143	110	2	1	2	1	1.9246 	1.1003 
OC_2,10_10_114_229_0_90.avi	247	110	1	4	1	4	1.4306 	3.0139 
OC_2,1_1_1_119_0_270.avi	254	110	4	1	4	1	2.5481 	1.453 
OB_2,1_10_119_114_45_180.avi	160	110	31	0	31	0	1.3082 2.4521 	0
NO_2,1_10_1_114_45_90.avi	8	110	4	1	4	1	1.6315 	2.6627 
OB_OC_2,10_10_1_114_0_315.avi	120	110	4	4	4	4	2.5137 	0.96236 
OC_2,10_10_229_344_0_270.avi	153	110	3	1	3	1	1.9561 	0.96422 
OB_4,1_10_1_229_45_0.avi	98	110	34	42	34	24	1.5022 4.6296 	2.3565 3.468 
OB_OC_2,1_10_1_344_45_225.avi	71	110	34	0	42	0	2.2999 3.4743 	0
OB_2,1_10_1_114_45_180.avi	296	110	1	1	1	1	2.1853 	1.0548 
NO_4,1_10_1_1_0_157.5.avi	155	110	234	2	324	2	1.3134 2.7072 4.082 	4.844 
OC_4,1_10_119_344_45_90.avi	320	110	31	41	31	14	1.9231 3.7554 	0.89066 2.6202 
OB_2,1_7_1_1_45_270.avi	141	110	34	0	43	0	1.4338 2.6655 	0
OB_4,1_10_1_1_45_225.avi	277	110	41	14	41	41	2.1874 4.4753 	1.4768 3.3243 
OC_4,10_10_1_229_0_22.5.avi	143	110	1	134	2	341	1.1062 	1.8582 3.243 4.9069 
OB_OC_4,1_1_1_119_0_45.avi	292	110	41	34	42	21	1.5152 3.7732 	2.6836 4.7566 
NO_4,10_10_114_229_0_90.avi	272	110	1	432	1	324	1.1299 	1.8999 2.9476 4.1624 
NO_2,10_10_1_344_0_0.avi	136	110	0	41	0	14	0	0.80879 1.5703 
NO_4,1_10_1_229_45_0.avi	78	110	12	31	12	31	2.5355 3.5588 	1.4878 4.2804 
NO_2,10_10_114_344_0_270.avi	285	110	1	4	1	4	1.2581 	2.6419 
NO_2,1_10_119_1_45_315.avi	342	110	3	1	1	1	2.4609 	1.3255 
NO_2,10_10_114_229_0_225.avi	118	110	0	43	0	34	0	1.5531 2.8945 
OC_4,1_10_1_114_45_0.avi	242	110	412	1	423	1	1.6274 3.5932 5.2732 	2.5135 
NO_2,10_10_1_114_0_225.avi	158	110	1	1	1	1	2.2679 	1.1488 

