
videoName	rotAngle	videoLength	firstTargets	secondTargets	clickedItemsfromFirstVid	clickedItemsfromSecondVid	respnseTimeFirstVid	respnseTimeSecondVid
OB_2,1_10_119_1_45_0.avi	301	110	1	1	3	1	3.2272 	2.3296 
OB_OC_4,7_10_1_344_45_135.avi	277	110	3241	0	4321	0	0.79752 1.4917 2.7793 3.6294 	0
OB_2,1_10_119_229_45_270.avi	61	110	41	0	2	0	0.93363 	0
OB_OC_4,1_10_1_344_45_270.avi	311	110	412	4	432	4	1.723 2.6759 4.7812 	3.8109 
OC_4,1_10_1_229_45_0.avi	357	110	12	31	213	1	2.2942 3.7404 4.9242 	1.6609 
OB_2,7_10_1_344_45_0.avi	186	110	4	4	4	4	0.48538 	1.7745 
OC_4,10_10_1_229_0_292.5.avi	319	110	12	24	21	24	1.2825 2.8658 	2.1537 3.6757 
OC_2,1_10_119_344_45_135.avi	212	110	1	1	3	1	1.6109 	0.87585 
OB_OC_4,1_10_119_114_45_90.avi	56	110	3412	0	241	1	1.0158 2.662 4.0627 	5.0311 
OB_OC_2,1_10_119_114_45_225.avi	72	110	3	1	3	1	3.6103 	1.1194 
NO_2,1_10_119_1_45_180.avi	147	110	1	1	3	1	2.2332 	1.3237 
OC_4,1_10_1_114_45_0.avi	270	110	412	1	324	1	1.1446 2.6107 4.0329 	3.2585 
OB_4,1_10_119_1_45_0.avi	298	110	341	1	213	1	0.77794 1.4482 3.0968 	2.3852 
OC_4,1_10_1_229_0_22.5.avi	285	110	34	14	42	41	2.8962 4.6251 	1.1454 2.3691 
OC_2,1_10_1_229_45_180.avi	115	110	4	3	4	3	1.6016 	0.87239 
OC_4,1_10_1_229_0_112.5.avi	193	110	234	3	421	3	1.2721 3.1257 4.5818 	2.1912 
OB_2,7_10_1_229_45_315.avi	33	110	41	0	41	0	0.81729 1.7289 	0
OC_2,1_10_119_1_45_315.avi	41	110	3	1	3	1	1.172 	2.0267 
OB_4,10_10_1_114_0_45.avi	50	110	142	1	241	1	1.3033 2.0473 4.049 	3.4247 
OB_4,10_10_229_344_0_90.avi	245	110	42	41	42	14	1.9139 3.7485 	0.90757 2.8679 
NO_2,10_10_1_344_0_270.avi	179	110	1	4	1	4	1.9295 	0.96204 
NO_4,10_10_229_344_0_292.5.avi	69	110	34	14	34	41	2.4165 4.2751 	1.2416 3.2009 
OB_OC_2,1_10_1_229_45_225.avi	179	110	12	0	12	0	1.6615 2.9262 	0
OC_2,1_10_1_1_45_315.avi	54	110	12	0	12	0	1.0596 2.1232 	0
NO_4,1_10_1_114_45_0.avi	20	110	412	1	124	1	0.9216 1.7863 3.2284 	2.4495 
OC_2,1_10_1_1_45_180.avi	307	110	34	0	34	0	1.1239 2.7301 	0
NO_2,1_10_1_1_45_270.avi	202	110	31	0	31	0	1.3225 2.1393 	0
OB_OC_4,10_10_1_344_0_225.avi	335	110	142	1	241	1	1.1005 2.7816 3.6223 	1.9094 
OB_OC_4,1_10_1_114_45_315.avi	251	110	341	4	413	4	2.0878 4.5124 5.798 	1.0401 
OB_OC_2,1_10_1_344_45_135.avi	210	110	32	0	2	4	1.1111 	2.5997 
OB_OC_4,10_10_1_229_0_180.avi	294	110	143	3	431	3	0.85355 1.5008 3.0517 	2.3969 
OB_OC_2,7_10_1_1_45_135.avi	317	110	4	1	4	1	1.0494 	2.0632 
OB_OC_2,10_10_114_229_0_180.avi	357	110	14	0	41	0	0.83664 1.7323 	0
OC_4,10_10_229_344_0_315.avi	1	110	43	41	34	41	2.9887 4.2708 	1.2698 2.1749 
OC_4,1_1_1_119_0_180.avi	312	110	12	31	12	31	1.6934 3.2199 	2.4529 3.9255 
NO_4,10_10_1_344_0_292.5.avi	221	110	12	14	21	14	1.2535 2.4768 	3.2447 4.2859 
OC_2,1_10_119_229_45_45.avi	357	110	0	43	0	34	0	1.4518 2.6457 
OB_OC_4,1_10_1_229_45_135.avi	190	110	32	42	22233	24	1.048 1.7217 2.2413 4.5688 5.2495 	3.1519 6.2967 
OB_4,1_10_1_344_45_90.avi	173	110	341	4	413	4	2.068 3.0818 4.0093 	0.96289 
NO_4,10_10_1_344_0_270.avi	289	110	12	41	12	14	0.94744 4.1864 	1.9687 2.8743 

