
videoName	rotAngle	videoLength	firstTargets	secondTargets	clickedItemsfromFirstVid	clickedItemsfromSecondVid	respnseTimeFirstVid	respnseTimeSecondVid
NO_2,1_10_1_1_45_315.avi	278	110	12	0	21	0	2.397 3.7818 	0
NO_2,1_10_119_344_45_90.avi	117	110	3	4	3	4	2.015 	2.777 
OB_4,1_10_1_344_45_315.avi	283	110	3412	0	4213	0	2.3154 3.9127 4.8656 5.8339 	0
OB_2,10_10_114_229_0_135.avi	170	110	14	0	41	0	1.781 3.07 	0
NO_4,10_10_229_344_0_315.avi	13	110	43	41	34	41	4.6206 5.957 	2.3328 3.6427 
OB_2,1_10_1_1_45_0.avi	64	110	0	14	0	41	0	1.7066 2.8969 
OC_4,1_10_119_344_0_247.5.avi	260	110	13	23	13	32	2.0223 5.2313 	3.0541 4.1247 
OB_OC_4,1_10_119_114_45_225.avi	171	110	342	1	324	1	2.0204 4.579 5.5558 	3.3079 
OC_4,1_10_119_344_45_90.avi	55	110	31	41	31	14	2.9941 5.2441 	1.5559 3.5935 
OB_4,1_10_119_229_45_225.avi	123	110	342	4	23444	4	1.7136 2.7863 4 4.7057 6.3608 	8.1769 
NO_2,10_10_1_114_0_270.avi	219	110	2	1	2	1	1.8339 	2.8601 
OB_2,1_10_1_1_45_225.avi	70	110	1	4	1	4	1.9326 	3.2511 
OC_4,1_10_1_1_0_157.5.avi	266	110	234	2	432	2	2.7327 3.8836 5.0116 	1.9089 
OB_4,10_10_1_114_0_90.avi	88	110	43	14	43	41	4.0548 5.0327 	1.6398 2.7204 
OB_OC_2,1_10_119_344_45_135.avi	331	110	32	0	32	0	1.3854 2.4331 	0
OB_2,1_10_119_114_45_135.avi	97	110	12	0	4	1	1.6639 	2.7111 
OC_4,1_10_1_1_0_247.5.avi	276	110	123	1	213	1	2.5002 3.6457 4.7078 	1.5413 
OB_OC_2,10_10_1_114_0_180.avi	68	110	14	0	41	0	1.8704 3.0871 	0
OB_OC_4,10_10_114_229_0_0.avi	104	110	14	32	124	2	2.0975 3.3138 5.0596 	4.2029 
OC_2,1_10_1_114_45_90.avi	33	110	4	1	4	1	2.9459 	1.6498 
OC_2,10_10_114_229_0_225.avi	208	110	0	43	0	34	0	1.904 3.3897 
NO_4,10_10_1_229_0_90.avi	247	110	12	43	12	43	1.5741 4.3731 	3.0771 5.4283 
OB_4,10_10_1_229_0_225.avi	197	110	14	21	41	12	1.8567 4.0973 	2.9129 4.8817 
OC_4,10_10_1_229_0_157.5.avi	154	110	12	34	21	43	2.2273 4.4909 	3.0491 5.7226 
OB_OC_2,1_10_1_114_45_225.avi	232	110	1	1	1	1	3.3884 	2.1896 
NO_4,10_10_229_344_0_202.5.avi	234	110	34	14	43	14	1.7953 3.6249 	2.7383 4.6591 
OB_2,10_10_1_114_0_45.avi	245	110	1	1	1	1	1.8193 	2.7473 
OB_4,1_1_1_119_0_180.avi	229	110	34	42	34	24	1.6756 3.9859 	2.9238 5.074 
OC_4,1_10_1_344_45_135.avi	341	110	41	13	43	31	3.0741 5.2029 	1.9246 4.0919 
NO_4,10_10_1_344_0_315.avi	76	110	12	41	21	14	1.6908 5.7301 	2.7849 4.2814 
OB_4,10_10_1_344_0_45.avi	256	110	142	4	24	41	2.238 3.5835 	4.879 5.7661 
NO_4,10_10_1_229_0_270.avi	86	110	12	42	21	42	1.6251 3.8797 	2.9042 4.879 
OB_2,10_10_229_344_0_0.avi	43	110	43	0	34	0	2.1911 3.542 	0
NO_4,1_10_1_229_45_135.avi	219	110	41	31	14	31	1.7538 3.792 	2.9596 5.0646 
NO_4,1_10_1_1_0_247.5.avi	163	110	123	1	312	1	1.9995 3.0786 3.7992 	4.4699 
OB_OC_4,10_10_114_229_0_45.avi	166	110	14	21	14	21	3.3011 5.4599 	2.0589 4.2202 
NO_2,10_10_1_229_0_180.avi	239	110	2	4	2	4	2.0774 	3.2692 
OC_2,10_10_114_344_0_315.avi	278	110	1	4	1	4	1.5174 	2.5118 
OB_OC_2,7_10_1_344_45_90.avi	127	110	4	4	4	4	1.4455 	2.2379 
OC_2,10_10_1_344_0_315.avi	239	110	1	4	1	4	2.8521 	1.7086 

