
videoName	rotAngle	videoLength	firstTargets	secondTargets	clickedItemsfromFirstVid	clickedItemsfromSecondVid	respnseTimeFirstVid	respnseTimeSecondVid
NO_2,10_10_1_114_0_90.avi	150	110	12	0	21	0	3.1446 4.3593 	0
OC_2,1_1_1_119_0_135.avi	304	110	2	1	2	1	1.7225 	1.2113 
OC_2,1_10_119_1_45_180.avi	300	110	1	1	1	1	1.8545 	2.5257 
OB_OC_2,1_10_1_114_45_0.avi	93	110	3	4	3	4	1.145 	2.5936 
OB_OC_4,1_10_119_1_45_315.avi	221	110	412	4	324	4	2.9119 3.7846 4.9026 	1.7989 
OB_OC_2,1_10_1_114_45_45.avi	210	110	2	1	42	0	1.1471 2.2112 	0
NO_2,10_10_114_229_0_90.avi	195	110	1	4	1	4	2.2934 	1.1659 
OC_2,10_10_229_344_0_135.avi	314	110	4	1	4	1	1.5346 	0.8968 
OB_4,1_10_1_229_45_180.avi	96	110	312	4	213	4	1.0666 2.595 3.4258 	1.9388 
OB_OC_4,1_10_1_229_45_90.avi	115	110	3412	0	34	21	2.253 5.3707 	1.0921 4.108 
OB_2,10_10_1_114_0_225.avi	43	110	4	4	4	4	2.2599 	1.4994 
OB_2,1_10_1_1_45_90.avi	339	110	1	1	1	1	1.2755 	2.4124 
OB_OC_2,10_10_1_114_0_0.avi	233	110	4	1	41	0	0.86926 1.7803 	0
OB_OC_4,10_10_1_229_0_0.avi	173	110	142	3	421	0	1.3204 2.1362 3.1366 	0
OC_2,1_10_1_114_45_180.avi	231	110	42	0	42	0	1.085 1.9527 	0
NO_2,10_10_229_344_0_315.avi	197	110	4	4	4	4	1.7475 	3.3303 
NO_4,1_1_1_119_0_180.avi	234	110	12	31	12	31	1.4265 3.9234 	2.0678 3.2357 
OB_OC_4,10_10_114_229_0_315.avi	196	110	14	43	41	34	1.6541 3.2379 	0.95891 2.3826 
NO_4,1_10_1_1_0_202.5.avi	260	110	123	1	312	1	1.1407 1.7486 2.8287 	2.4921 
OC_2,10_10_1_114_0_315.avi	189	110	1	1	1	1	1.12 	2.4172 
NO_2,1_10_1_1_45_0.avi	358	110	12	0	21	0	1.3663 2.3602 	0
OB_4,10_10_229_344_0_0.avi	79	110	43	41	34	14	1.9047 3.8091 	2.9833 5.3924 
OB_4,1_10_119_229_45_315.avi	39	110	3412	0	1243	0	1.2723 2.2801 3.3358 4.385 	0
OB_2,7_10_1_114_45_90.avi	40	110	4	1	4	1	0.45692 	1.5525 
OB_4,1_10_1_114_45_180.avi	23	110	31	14	213	4	1.4186 3.8281 4.6425 	2.5381 
OB_OC_4,1_10_1_1_45_180.avi	146	110	12	42	2	142	2.2892 	1.0091 3.0577 4.4435 
OB_OC_4,1_10_119_229_45_90.avi	162	110	412	4	124	4	1.6276 3.8193 4.6351 	2.5148 
OB_2,10_10_229_344_0_90.avi	132	110	4	4	4	4	3.8635 	2.8377 
OB_OC_2,1_10_119_1_45_315.avi	275	110	1	4	3	4	0.80548 	1.358 
NO_2,1_1_1_119_0_180.avi	227	110	1	3	41	0	1.0963 2.0074 	0
OB_2,10_10_114_344_0_0.avi	278	110	4	1	4	1	1.9245 	0.86634 
NO_4,1_10_1_229_0_112.5.avi	336	110	234	3	243	3	1.3381 3.3448 4.3062 	2.3619 
OB_4,1_10_1_344_45_180.avi	351	110	312	4	213	4	1.6621 2.5019 3.2763 	4.5489 
OB_4,10_10_1_114_0_270.avi	70	110	143	4	431	4	1.0742 1.6636 3.4074 	2.5617 
OB_OC_2,1_10_1_1_45_135.avi	50	110	1	1	1	1	2.356 	1.7482 
OB_4,10_10_114_229_0_270.avi	251	110	143	4	134	4	1.7164 2.9327 3.6767 	1.098 
OB_OC_2,1_10_1_229_45_135.avi	34	110	32	0	23	0	1.3883 2.6619 	0
NO_4,10_10_1_229_0_157.5.avi	190	110	12	34	21	43	1.1348 4.5104 	3.3828 5.2709 
NO_2,1_1_1_119_0_270.avi	191	110	4	1	4	3	0.81872 	1.5213 
NO_2,1_10_1_229_45_135.avi	311	110	41	0	41	0	1.4565 2.7371 	0

