
videoName	rotAngle	videoLength	firstTargets	secondTargets	clickedItemsfromFirstVid	clickedItemsfromSecondVid	respnseTimeFirstVid	respnseTimeSecondVid
OB_2,1_10_119_114_45_270.avi	175	110	32	0	14	0	2.5361 3.8486 	0
OC_4,10_10_229_344_0_315.avi	142	110	43	41	43	14	1.1723 2.1562 	2.7885 3.5659 
NO_4,1_10_1_229_0_22.5.avi	242	110	34	14	34	41	0.89252 3.3251 	1.5652 2.573 
OB_OC_4,10_10_1_114_0_135.avi	267	110	42	14	42	14	1.4467 3.2455 	0.8623 2.295 
OC_4,1_10_1_229_45_135.avi	188	110	41	31	34	13	2.0273 3.9237 	2.7708 4.5875 
OB_OC_2,1_10_1_229_45_270.avi	126	110	41	0	4	4	1.7342 	1.1268 
OC_4,1_1_1_119_0_180.avi	54	110	12	31	21	13	1.939 3.0416 	1.0663 2.6092 
OC_4,1_10_1_1_0_202.5.avi	211	110	123	1	312	1	1.4823 2.129 3.4012 	2.8012 
OB_4,1_10_119_229_45_45.avi	95	110	3412	0	123	2	1.1205 1.9942 2.8893 	0.7375 
OB_OC_2,1_10_1_1_45_180.avi	17	110	2	4	2	4	1.4933 	0.84452 
OB_2,1_10_1_344_45_315.avi	272	110	12	0	21	0	0.91824 1.6548 	0
OB_OC_2,10_10_114_344_0_135.avi	88	110	1	4	1	4	0.67682 	1.6283 
OB_OC_4,1_7_1_1_45_90.avi	160	110	34	32	14	23	4.9655 5.8132 	3.1169 4.4758 
OB_OC_4,1_10_1_114_45_270.avi	248	110	412	1	23	41	2.034 4.2427 	0.85869 2.6993 
NO_4,1_10_119_344_45_90.avi	130	110	31	41	13	41	1.0674 2.542 	2.1799 3.0676 
OC_2,10_10_1_344_0_0.avi	266	110	0	41	0	14	0	0.60421 1.4919 
OC_2,1_10_1_114_45_315.avi	143	110	2	1	2	1	1.8217 	1.2312 
OC_2,10_10_114_229_0_90.avi	247	110	1	4	1	4	1.6918 	0.8201 
OC_2,1_1_1_119_0_270.avi	254	110	4	1	4	1	1.6316 	1.0141 
OB_2,1_10_119_114_45_180.avi	160	110	31	0	13	0	1.0268 1.9858 	0
NO_2,1_10_1_114_45_90.avi	8	110	4	1	4	1	1.1562 	2.8058 
OB_OC_2,10_10_1_114_0_315.avi	120	110	4	4	4	4	0.94525 	1.7237 
OC_2,10_10_229_344_0_270.avi	153	110	3	1	3	11	1.0981 	1.8671 2.2083 
OB_4,1_10_1_229_45_0.avi	98	110	34	42	34	24	0.79192 4.2248 	1.504 2.2959 
OB_OC_2,1_10_1_344_45_225.avi	71	110	34	0	43	0	1.353 2.2431 	0
OB_2,1_10_1_114_45_180.avi	296	110	1	1	1	1	1.7831 	1.0301 
NO_4,1_10_1_1_0_157.5.avi	155	110	234	2	234	2	1.0047 2.2513 3.5708 	3.1554 
OC_4,1_10_119_344_45_90.avi	320	110	31	41	31	14	1.8035 3.6186 	0.53084 2.7235 
OB_2,1_7_1_1_45_270.avi	141	110	34	0	43	0	1.0169 2.3928 	0
OB_4,1_10_1_1_45_225.avi	277	110	41	14	41	24	1.6303 3.7024 	1.0205 2.0233 
OC_4,10_10_1_229_0_22.5.avi	143	110	1	134	2	431	2.4362 	1.3306 3.1642 4.203 
OB_OC_4,1_1_1_119_0_45.avi	292	110	41	34	421	2	1.2706 3.0474 3.7525 	2.239 
NO_4,10_10_114_229_0_90.avi	272	110	1	432	1	3324	0.72321 	1.2842 1.5645 2.1873 3.6579 
NO_2,10_10_1_344_0_0.avi	136	110	0	41	0	14	0	0.74154 1.3968 
NO_4,1_10_1_229_45_0.avi	78	110	12	31	12	31	1.8541 3.0768 	1.2871 3.7021 
NO_2,10_10_114_344_0_270.avi	285	110	1	4	1	4	1.1262 	1.8627 
NO_2,1_10_119_1_45_315.avi	342	110	3	1	0	1	0	1.8252 
NO_2,10_10_114_229_0_225.avi	118	110	0	43	0	43	0	0.93519 2.0956 
OC_4,1_10_1_114_45_0.avi	242	110	412	1	421	1	1.1389 2.9386 4.0187 	1.9064 
NO_2,10_10_1_114_0_225.avi	158	110	1	1	1	1	0.84365 	1.8759 

