
videoName	rotAngle	videoLength	firstTargets	secondTargets	clickedItemsfromFirstVid	clickedItemsfromSecondVid	respnseTimeFirstVid	respnseTimeSecondVid
NO_2,1_10_1_1_45_315.avi	278	110	12	0	21	0	1.81 3.2436 	0
NO_2,1_10_119_344_45_90.avi	117	110	3	4	3	4	1.2221 	2.0534 
OB_4,1_10_1_344_45_315.avi	283	110	3412	0	4213	0	1.1155 2.251 3.3152 4.1061 	0
OB_2,10_10_114_229_0_135.avi	170	110	14	0	14	0	1.4848 2.4532 	0
NO_4,10_10_229_344_0_315.avi	13	110	43	41	34	41	3.6376 4.9008 	1.1014 2.1645 
OB_2,1_10_1_1_45_0.avi	64	110	0	14	0	41	0	1.0845 2.4064 
OC_4,1_10_119_344_0_247.5.avi	260	110	13	23	31	23	1.2812 5.6984 	3.0904 4.8657 
OB_OC_4,1_10_119_114_45_225.avi	171	110	342	1	324	1	1.4388 4.761 5.6731 	3.1597 
OC_4,1_10_119_344_45_90.avi	55	110	31	41	13	14	1.1927 3.4263 	2.4499 4.5064 
OB_4,1_10_119_229_45_225.avi	123	110	342	4	3244	4	1.3239 2.4998 3.4837 4.4511 	5.8184 
NO_2,10_10_1_114_0_270.avi	219	110	2	1	2	1	1.4418 	2.6989 
OB_2,1_10_1_1_45_225.avi	70	110	1	4	1	4	2.8459 	1.4645 
OC_4,1_10_1_1_0_157.5.avi	266	110	234	2	423	4	1.472 3.7983 5.1607 	2.6144 
OB_4,10_10_1_114_0_90.avi	88	110	43	14	43	41	2.625 3.3137 	1.2158 4.4656 
OB_OC_2,1_10_119_344_45_135.avi	331	110	32	0	3	2	2.5706 	1.5219 
OB_2,1_10_119_114_45_135.avi	97	110	12	0	23	0	0.84396 1.7715 	0
OC_4,1_10_1_1_0_247.5.avi	276	110	123	1	213	1	2.4118 3.4445 4.3576 	1.3022 
OB_OC_2,10_10_1_114_0_180.avi	68	110	14	0	41	0	1.4691 2.8854 	0
OB_OC_4,10_10_114_229_0_0.avi	104	110	14	32	134	3	3.3939 4.6889 7.2407 	1.7682 
OC_2,1_10_1_114_45_90.avi	33	110	4	1	4	1	1.9728 	1.1505 
OC_2,10_10_114_229_0_225.avi	208	110	0	43	0	34	0	1.0515 2.5495 
NO_4,10_10_1_229_0_90.avi	247	110	12	43	12	43	2.7806 5.3318 	1.4606 4.0348 
OB_4,10_10_1_229_0_225.avi	197	110	14	21	41	12	1.2762 3.4225 	2.0791 4.7744 
OC_4,10_10_1_229_0_157.5.avi	154	110	12	34	12	34	1.3029 3.2702 	2.1267 4.086 
OB_OC_2,1_10_1_114_45_225.avi	232	110	1	1	1	1	1.8345 	0.87604 
NO_4,10_10_229_344_0_202.5.avi	234	110	34	14	43	14	1.6634 4.1119 	2.7415 5.2374 
OB_2,10_10_1_114_0_45.avi	245	110	1	1	1	1	1.5113 	2.382 
OB_4,1_1_1_119_0_180.avi	229	110	34	42	14	42	0.92806 3.9116 	1.7584 2.7746 
OC_4,1_10_1_344_45_135.avi	341	110	41	13	14	13	1.3598 4.2721 	2.6085 3.5131 
NO_4,10_10_1_344_0_315.avi	76	110	12	41	21	14	1.1338 4.9746 	2.2698 3.6142 
OB_4,10_10_1_344_0_45.avi	256	110	142	4	24	41	1.8537 3.796 	5.0611 6.4764 
NO_4,10_10_1_229_0_270.avi	86	110	12	42	21	42	1.9027 5.1595 	3.5503 7.1009 
OB_2,10_10_229_344_0_0.avi	43	110	43	0	34	0	3.5084 5.14 	0
NO_4,1_10_1_229_45_135.avi	219	110	41	31	14	31	1.3031 3.5975 	2.2865 4.3974 
NO_4,1_10_1_1_0_247.5.avi	163	110	123	1	312	1	1.5625 2.5145 3.4819 	4.3302 
OB_OC_4,10_10_114_229_0_45.avi	166	110	14	21	4	241	2.3921 	1.279 3.559 4.3923 
NO_2,10_10_1_229_0_180.avi	239	110	2	4	2	4	0.97848 	2.1144 
OC_2,10_10_114_344_0_315.avi	278	110	1	4	1	4	1.2091 	2.1042 
OB_OC_2,7_10_1_344_45_90.avi	127	110	4	4	4	4	0.93193 	2.0056 
OC_2,10_10_1_344_0_315.avi	239	110	1	4	1	4	1.1448 	2.1551 

