
videoName	rotAngle	videoLength	firstTargets	secondTargets	clickedItemsfromFirstVid	clickedItemsfromSecondVid	respnseTimeFirstVid	respnseTimeSecondVid
NO_2,10_10_1_114_0_90.avi	150	110	12	0	21	0	1.2185 2.324 	0
OC_2,1_1_1_119_0_135.avi	304	110	2	1	2	1	2.3315 	1.6104 
OC_2,1_10_119_1_45_180.avi	300	110	1	1	1	1	1.9568 	1.0383 
OB_OC_2,1_10_1_114_45_0.avi	93	110	3	4	3	4	1.2697 	2.1205 
OB_OC_4,1_10_119_1_45_315.avi	221	110	412	4	124	4	1.9702 4.0676 5.0754 	3.1306 
OB_OC_2,1_10_1_114_45_45.avi	210	110	2	1	2	1	2.1314 	1.1316 
NO_2,10_10_114_229_0_90.avi	195	110	1	4	1	4	2.6652 	1.5143 
OC_2,10_10_229_344_0_135.avi	314	110	4	1	4	1	1.6377 	0.86824 
OB_4,1_10_1_229_45_180.avi	96	110	312	4	312	4	1.5832 2.5421 4.272 	3.2063 
OB_OC_4,1_10_1_229_45_90.avi	115	110	3412	0	31	13	1.1178 2.2209 	4.8773 7.3497 
OB_2,10_10_1_114_0_225.avi	43	110	4	4	4	4	2.3624 	1.2005 
OB_2,1_10_1_1_45_90.avi	339	110	1	1	1	1	1.6402 	2.7827 
OB_OC_2,10_10_1_114_0_0.avi	233	110	4	1	0	41	0	1.022 1.8782 
OB_OC_4,10_10_1_229_0_0.avi	173	110	142	3	421	3	1.2895 2.4415 4.4022 	3.0987 
OC_2,1_10_1_114_45_180.avi	231	110	42	0	42	0	2.0267 3.3138 	0
NO_2,10_10_229_344_0_315.avi	197	110	4	4	4	4	0.91577 	2.1709 
NO_4,1_1_1_119_0_180.avi	234	110	12	31	12	31	1.317 3.196 	2.253 4.8052 
OB_OC_4,10_10_114_229_0_315.avi	196	110	14	43	41	34	2.2732 3.2725 	1.3291 4.0973 
NO_4,1_10_1_1_0_202.5.avi	260	110	123	1	213	1	1.2968 3.2147 4.4719 	2.0323 
OC_2,10_10_1_114_0_315.avi	189	110	1	1	1	1	1.2691 	2.7018 
NO_2,1_10_1_1_45_0.avi	358	110	12	0	12	0	1.1913 2.1418 	0
OB_4,10_10_229_344_0_0.avi	79	110	43	41	1342	0	6.3199 7.7307 8.9454 10.3228 	0
OB_4,1_10_119_229_45_315.avi	39	110	3412	0	4213	0	1.4761 2.4445 3.8518 5.0032 	0
OB_2,7_10_1_114_45_90.avi	40	110	4	1	4	1	0.91173 	1.9061 
OB_4,1_10_1_114_45_180.avi	23	110	31	14	13	41	2.5333 3.5022 	1.1729 4.5993 
OB_OC_4,1_10_1_1_45_180.avi	146	110	12	42	2	2334	5.7379 	1.0993 2.3714 3.4824 4.5077 
OB_OC_4,1_10_119_229_45_90.avi	162	110	412	4	421	4	1.8256 2.9716 4.6666 	5.618 
OB_2,10_10_229_344_0_90.avi	132	110	4	4	4	4	2.284 	1.3465 
OB_OC_2,1_10_119_1_45_315.avi	275	110	1	4	1	4	2.5905 	1.3343 
NO_2,1_1_1_119_0_180.avi	227	110	1	3	1	3	1.0517 	1.7733 
OB_2,10_10_114_344_0_0.avi	278	110	4	1	0	12	0	1.4629 2.6083 
NO_4,1_10_1_229_0_112.5.avi	336	110	234	3	234	3	1.157 2.1708 4.5953 	3.3811 
OB_4,1_10_1_344_45_180.avi	351	110	312	4	213	4	1.541 2.6455 3.6458 	4.7414 
OB_4,10_10_1_114_0_270.avi	70	110	143	4	341	4	1.2838 1.9545 3.827 	3.0187 
OB_OC_2,1_10_1_1_45_135.avi	50	110	1	1	1	1	1.2555 	2.2643 
OB_4,10_10_114_229_0_270.avi	251	110	143	4	143	4	1.6752 2.8177 3.9377 	1.1526 
OB_OC_2,1_10_1_229_45_135.avi	34	110	32	0	23	0	2.0295 3.35 	0
NO_4,10_10_1_229_0_157.5.avi	190	110	12	34	12	34	1.3011 3.8927 	2.084 3.1333 
NO_2,1_1_1_119_0_270.avi	191	110	4	1	4	1	2.3283 	1.2333 
NO_2,1_10_1_229_45_135.avi	311	110	41	0	14	0	1.3547 2.5221 	0

