
videoName	rotAngle	videoLength	firstTargets	secondTargets	clickedItemsfromFirstVid	clickedItemsfromSecondVid	respnseTimeFirstVid	respnseTimeSecondVid
OB_2,1_10_119_1_45_0.avi	301	110	1	1	3	1	2.1246 	1.557 
OB_OC_4,7_10_1_344_45_135.avi	277	110	3241	0	423	3	1.4242 2.3038 3.8865 	3.0698 
OB_2,1_10_119_229_45_270.avi	61	110	41	0	23	0	1.7051 3.0331 	0
OB_OC_4,1_10_1_344_45_270.avi	311	110	412	4	34	41	3.382 5.3104 	2.1025 4.3001 
OC_4,1_10_1_229_45_0.avi	357	110	12	31	21	13	2.1826 2.9825 	1.5727 3.4522 
OB_2,7_10_1_344_45_0.avi	186	110	4	4	4	4	1.3707 	2.3775 
OC_4,10_10_1_229_0_292.5.avi	319	110	12	24	12	42	2.8789 4.8062 	2.1329 3.8693 
OC_2,1_10_119_344_45_135.avi	212	110	1	1	1	1	2.5281 	1.8469 
OB_OC_4,1_10_119_114_45_90.avi	56	110	3412	0	2134	0	1.4343 2.2188 3.2266 4.378 	0
OB_OC_2,1_10_119_114_45_225.avi	72	110	3	1	3	1	1.8309 	2.6148 
NO_2,1_10_119_1_45_180.avi	147	110	1	1	3	1	2.6982 	1.65 
OC_4,1_10_1_114_45_0.avi	270	110	412	1	324	1	1.7678 2.5916 4.0318 	3.1845 
OB_4,1_10_119_1_45_0.avi	298	110	341	1	123	1	1.8317 2.7827 4.0324 	3.4794 
OC_4,1_10_1_229_0_22.5.avi	285	110	34	14	42	14	2.018 2.7555 	1.5642 3.8342 
OC_2,1_10_1_229_45_180.avi	115	110	4	3	34	0	2.9423 4.2283 	0
OC_4,1_10_1_229_0_112.5.avi	193	110	234	3	234	3	1.5415 2.1653 3.7257 	3.1023 
OB_2,7_10_1_229_45_315.avi	33	110	41	0	41	0	1.0171 1.8016 	0
OC_2,1_10_119_1_45_315.avi	41	110	3	1	3	1	1.8066 	2.6608 
OB_4,10_10_1_114_0_45.avi	50	110	142	1	241	1	1.6604 2.6912 3.8436 	4.3792 
OB_4,10_10_229_344_0_90.avi	245	110	42	41	42	14	2.6896 4.3616 	1.8667 3.2122 
NO_2,10_10_1_344_0_270.avi	179	110	1	4	1	4	2.2404 	1.5118 
NO_4,10_10_229_344_0_292.5.avi	69	110	34	14	34	14	2.137 4.8403 	1.344 3.3847 
OB_OC_2,1_10_1_229_45_225.avi	179	110	12	0	12	0	1.933 2.8052 	0
OC_2,1_10_1_1_45_315.avi	54	110	12	0	12	0	1.8727 3.9063 	0
NO_4,1_10_1_114_45_0.avi	20	110	412	1	124	1	1.8073 2.6371 3.8952 	3.1003 
OC_2,1_10_1_1_45_180.avi	307	110	34	0	43	0	1.2198 2.1872 	0
NO_2,1_10_1_1_45_270.avi	202	110	31	0	13	0	2.1571 3.3419 	0
OB_OC_4,10_10_1_344_0_225.avi	335	110	142	1	12	31	1.8371 4.8536 	3.0603 3.8288 
OB_OC_4,1_10_1_114_45_315.avi	251	110	341	4	43	41	2.2972 4.624 	1.4649 3.5379 
OB_OC_2,1_10_1_344_45_135.avi	210	110	32	0	23	0	2.0329 3.4411 	0
OB_OC_4,10_10_1_229_0_180.avi	294	110	143	3	341	3	1.4971 1.9784 2.7388 	4.0419 
OB_OC_2,7_10_1_1_45_135.avi	317	110	4	1	4	1	1.3039 	2.1461 
OB_OC_2,10_10_114_229_0_180.avi	357	110	14	0	14	0	1.5649 2.4196 	0
OC_4,10_10_229_344_0_315.avi	1	110	43	41	34	41	3.1713 3.9159 	2.005 2.5874 
OC_4,1_1_1_119_0_180.avi	312	110	12	31	12	31	1.759 3.4709 	2.1833 4.2453 
NO_4,10_10_1_344_0_292.5.avi	221	110	12	14	21	14	1.6842 3.5169 	2.3724 4.772 
OC_2,1_10_119_229_45_45.avi	357	110	0	43	2	4	1.5957 	2.2576 
OB_OC_4,1_10_1_229_45_135.avi	190	110	32	42	13	24	3.0724 4.6731 	2.063 3.9749 
OB_4,1_10_1_344_45_90.avi	173	110	341	4	134	4	1.6762 2.533 4.7346 	3.7901 
NO_4,10_10_1_344_0_270.avi	289	110	12	41	12	14	1.7153 4.6909 	2.6105 3.6502 

